,a,b,c,d
00000000.jpg,28,147,146,29
00000001.jpg,81,304,222,163
00000002.jpg,80,615,250,445
00000003.jpg,244,1063,596,711
00000004.jpg,57,346,175,228
00000005.jpg,52,243,109,186
00000006.jpg,90,312,231,170
00000007.jpg,71,568,275,364
00000008.jpg,29,359,110,277
00000009.jpg,122,425,240,307
00000010.jpg,72,355,190,237
00000011.jpg,175,630,420,385
00000012.jpg,107,468,311,264
00000013.jpg,115,503,284,333
00000014.jpg,391,830,1000,221
00000015.jpg,68,403,210,261
00000016.jpg,42,528,160,410
00000017.jpg,68,571,210,430
00000018.jpg,61,398,203,256
00000019.jpg,87,558,169,476
00000020.jpg,28,191,85,134
00000021.jpg,83,417,224,276
00000022.jpg,64,444,182,326
00000023.jpg,129,507,422,213
00000024.jpg,39,358,96,301
00000025.jpg,49,406,167,288
00000026.jpg,81,423,222,281
00000027.jpg,61,101,108,54
00000028.jpg,97,485,239,344
00000029.jpg,47,355,188,213
00000030.jpg,81,458,163,376
00000031.jpg,64,354,132,286
00000032.jpg,81,341,179,243
00000033.jpg,78,354,146,286
00000034.jpg,125,546,370,301
00000035.jpg,53,283,110,226
00000036.jpg,69,249,187,131
00000037.jpg,69,370,187,252
00000038.jpg,169,1218,373,1014
00000039.jpg,57,330,155,232
00000040.jpg,210,723,414,519
00000041.jpg,126,557,267,415
00000042.jpg,119,447,289,277
00000043.jpg,76,220,133,163
00000044.jpg,145,488,315,318
00000045.jpg,53,260,110,203
00000046.jpg,174,602,378,398
00000047.jpg,149,851,291,709
00000048.jpg,94,412,193,314
00000049.jpg,64,351,146,269
00000050.jpg,113,473,170,416
00000051.jpg,127,501,269,360
00000052.jpg,56,312,124,244
00000053.jpg,426,734,779,381
00000054.jpg,34,145,91,88
00000055.jpg,105,297,222,179
00000056.jpg,91,341,209,223
00000057.jpg,81,362,222,220
00000058.jpg,61,331,159,233
00000059.jpg,148,726,352,522
00000060.jpg,56,533,154,435
00000061.jpg,83,270,224,129
00000063.jpg,45,346,163,228
00000064.jpg,45,342,127,260
00000065.jpg,95,509,237,367
00000066.jpg,57,214,155,116
00000067.jpg,31,154,100,85
00000068.jpg,83,269,224,127
00000069.jpg,105,243,187,161
00000070.jpg,90,485,231,344
00000071.jpg,58,190,157,91
00000072.jpg,90,340,231,199
00000073.jpg,178,784,423,540
00000074.jpg,37,375,119,293
00000075.jpg,115,473,233,355
00000076.jpg,70,317,152,235
00000077.jpg,65,475,147,393
00000078.jpg,108,766,278,596
00000079.jpg,33,188,81,140
00000080.jpg,60,444,117,388
00000081.jpg,179,753,349,583
00000082.jpg,143,886,312,716
00000083.jpg,132,589,302,419
00000085.jpg,102,434,306,230
00000086.jpg,67,224,165,126
00000087.jpg,68,528,210,387
00000088.jpg,99,511,303,308
00000089.jpg,69,262,187,144
00000090.jpg,52,624,170,506
00000091.jpg,93,442,235,301
00000092.jpg,68,313,210,172
00000093.jpg,55,260,112,203
00000094.jpg,67,429,185,312
00000095.jpg,116,322,234,204
00000096.jpg,36,179,93,123
00000097.jpg,108,862,278,692
00000098.jpg,63,342,233,172
00000099.jpg,183,543,325,401
00000100.jpg,154,605,296,464
00000101.jpg,37,76,77,37
00000102.jpg,173,347,467,54
00000103.jpg,58,289,114,232
00000104.jpg,120,684,262,543
00000105.jpg,115,207,233,89
00000106.jpg,85,755,203,637
00000107.jpg,156,1100,401,856
00000108.jpg,97,333,195,234
00000109.jpg,40,361,108,293
00000110.jpg,53,147,121,78
00000111.jpg,100,385,269,215
00000112.jpg,114,430,212,331
00000113.jpg,135,736,276,595
00000114.jpg,9,335,65,278
00000115.jpg,91,508,261,338
00000116.jpg,181,1026,426,781
00000117.jpg,46,151,128,70
00000118.jpg,110,392,192,310
00000119.jpg,210,826,414,622
00000120.jpg,76,197,194,79
00000121.jpg,66,359,148,277
00000122.jpg,35,174,103,106
00000123.jpg,104,387,161,330
00000124.jpg,82,359,164,277
00000125.jpg,58,508,140,426
00000126.jpg,135,818,379,574
00000127.jpg,244,573,596,221
00000128.jpg,69,209,187,91
