Id,Label,timeset,farmacia,latitude,longitude,Zona,Farm
1,AHUMADA,,BUIN,-33.732,-70.735941,,AHUMADA
2,BUIN,,BUIN,-33.729515,-70.739232,,BUIN
3,CRUZ VERDE,,BUIN,-33.733423,-70.737859,,CRUZ VERDE
4,EL ALBA,,BUIN,-33.761703,-70.735348,,EL ALBA
5,PLAZA BUIN,,BUIN,-33.732228,-70.748244,,PLAZA BUIN
6,SALCOBRAND,,BUIN,-33.730963,-70.774937,,SALCOBRAND
7,CALERA DE TANGO,,CALERA DE TANGO,-33.629789,-70.762771,,CALERA DE TANGO
8,CRUZ VERDE,,CALERA DE TANGO,-33.573438,-70.768774,,CRUZ VERDE
9,AHUMADA,,CERRILLOS,-33.518821,-70.707453,,AHUMADA
10,CRUZ VERDE,,CERRILLOS,-33.515827,-70.71547,,CRUZ VERDE
11,LA FE,,CERRILLOS,-33.504598,-70.71962,,LA FE
12,VILLA MEXICO,,CERRILLOS,-33.509773,-70.731929,,VILLA MEXICO
13,SALCOBRAND,,CERRILLOS,-33.515049,-70.717181,,SALCOBRAND
14,DAVIFAR,,CERRO NAVIA,-33.429131,-70.726508,,DAVIFAR
15,LAS TORRES,,CERRO NAVIA,-33.428999,-70.730842,,LAS TORRES
16,SANTO THOMAS,,CERRO NAVIA,-33.429812,-70.740262,,SANTO THOMAS
17,SILVA,,CERRO NAVIA,-33.416828,-70.75024,,SILVA
18,LA UNION,,CERRO NAVIA,-33.416666,-70.756012,,LA UNION
19,NEPTUNO,,CERRO NAVIA,-33.430582,-70.720156,,NEPTUNO
20,AHUMADA,,COLINA,-33.285167,-70.680634,,AHUMADA
21,AHUMADA,,COLINA,-33.276682,-70.628112,,AHUMADA
22,AHUMADA,,COLINA,-33.20679,-70.677604,,AHUMADA
23,BELEN,,COLINA,-33.201996,-70.673851,,BELEN
24,CRUZ VERDE,,COLINA,-33.204402,-70.676177,,CRUZ VERDE
25,CRUZ VERDE,,COLINA,-33.206653,-70.67745,,CRUZ VERDE
26,NUEVA REAL,,COLINA,-33.204546,-70.675481,,NUEVA REAL
27,SAN MARTIN,,COLINA,-33.204707,-70.675653,,SAN MARTIN
28,SALCOBRAND,,COLINA,-33.28584,-70.675528,,SALCOBRAND
29,SALCOBRAND,,COLINA,-33.286342,-70.675789,,SALCOBRAND
30,AHUMADA,,CONCHALI,-33.391512,-70.675618,,AHUMADA
31,AHUMADA,,CONCHALI,-33.371545,-70.671232,,AHUMADA
32,BELEN,,CONCHALI,-33.369164,-70.688358,,BELEN
33,BELEN,,CONCHALI,-33.396802,-70.670782,,BELEN
34,BELEN,,CONCHALI,-33.384673,-70.680374,,BELEN
35,CRUZ VERDE,,CONCHALI,-33.373601,-70.681658,,CRUZ VERDE
36,CRUZ VERDE,,CONCHALI,-33.395801,-70.671745,,CRUZ VERDE
37,CRUZ VERDE,,CONCHALI,-33.384684,-70.680084,,CRUZ VERDE
38,CRUZ VERDE,,CURACAVI,-33.402767,-71.129139,,CRUZ VERDE
39,CURACAVI,,CURACAVI,-33.40257,-71.129915,,CURACAVI
40,EL SOL,,CURACAVI,-33.404934,-71.135298,,EL SOL
41,AHUMADA,,EL BOSQUE,-33.54579,-70.667759,,AHUMADA
42,ALAMEDA,,EL BOSQUE,-33.561121,-70.670763,,ALAMEDA
43,BELEN,,EL BOSQUE,-33.58241,-70.676809,,BELEN
44,BELEN,,EL BOSQUE,-33.582698,-70.676898,,BELEN
45,SALUD/CANAIMA,,EL BOSQUE,-33.55352,-70.660676,,SALUD/CANAIMA
46,CRUZ VERDE,,EL BOSQUE,-33.55402,-70.675009,,CRUZ VERDE
47,CRUZ VERDE,,EL BOSQUE,-33.55014,-70.671941,,CRUZ VERDE
48,CRUZ VERDE,,EL BOSQUE,-33.574529,-70.690897,,CRUZ VERDE
49,LOS MAQUIS,,EL BOSQUE,-33.561361,-70.663524,,LOS MAQUIS
50,SALCOBRAND,,EL BOSQUE,-33.545401,-70.668164,,SALCOBRAND
51,AHUMADA,,ESTACION CENTRAL,-33.457041,-70.70509,,AHUMADA
52,AHUMADA,,ESTACION CENTRAL,-33.452695,-70.69151,,AHUMADA
53,BELGO CHILENA,,ESTACION CENTRAL,-33.453930,-70.687752,,BELGO CHILENA
54,CARRERA,,ESTACION CENTRAL,-33.471008,-70.692411,,CARRERA
55,CRUZ VERDE,,ESTACION CENTRAL,-33.451139,-70.679883,,CRUZ VERDE
56,CRUZ VERDE,,ESTACION CENTRAL,-33.453339,-70.687819,,CRUZ VERDE
57,CRUZ VERDE,,ESTACION CENTRAL,-33.467564,-70.729965,,CRUZ VERDE
58,CRUZ VERDE,,ESTACION CENTRAL,-33.453006,-70.680365,,CRUZ VERDE
59,DEL DR. SIMI,,ESTACION CENTRAL,-33.454199,-70.692347,,DEL DR. SIMI
60,ELENA,,ESTACION CENTRAL,-33.465727,-70.708569,,ELENA
61,PURA SALUD,,ESTACION CENTRAL,-33.461825,-70.698417,,PURA SALUD
62,SALCOBRAND,,ESTACION CENTRAL,-33.450755,-70.679185,,SALCOBRAND
63,SALCOBRAND,,ESTACION CENTRAL,-33.451979,-70.682283,,SALCOBRAND
64,SALCOBRAND,,ESTACION CENTRAL,-33.453151,-70.687245,,SALCOBRAND
65,SALCOBRAND,,ESTACION CENTRAL,-33.453167,-70.68039,,SALCOBRAND
66,SALCOBRAND,,ESTACION CENTRAL,-33.451101,-70.679644,,SALCOBRAND
67,SALCOBRAND,,HUECHURABA,-33.368062,-70.678301,,SALCOBRAND
68,SALCOBRAND,,HUECHURABA,-33.368062,-70.678301,,SALCOBRAND
69,AHUMADA,,HUECHURABA,-33.368062,-70.678301,,AHUMADA
70,AHUMADA,,HUECHURABA,-33.351179,-70.670396,,AHUMADA
71,CRUZ VERDE,,HUECHURABA,-33.36799,-70.678378,,CRUZ VERDE
72,CRUZ VERDE,,HUECHURABA,-33.347738,-70.670353,,CRUZ VERDE
73,FARMAVIDA,,HUECHURABA,-33.376326,-70.637787,,FARMAVIDA
74,SALCOBRAND,,HUECHURABA,-33.348222,-70.670417,,SALCOBRAND
75,MEDDICA,,INDEPENDENCIA,-33.41751,-70.656496,,MEDDICA
76,CRUZ VERDE,,INDEPENDENCIA,-33.406802,-70.660646,,CRUZ VERDE
77,CRUZ VERDE,,INDEPENDENCIA,-33.419606,-70.663331,,CRUZ VERDE
78,CRUZ VERDE,,INDEPENDENCIA,-33.420034,-70.655933,,CRUZ VERDE
79,MAESTRE,,INDEPENDENCIA,-33.414275,-70.678147,,MAESTRE
80,NOVOA,,INDEPENDENCIA,-33.408777,-70.671801,,NOVOA
81,SANTA LAURA,,INDEPENDENCIA,-33.405615,-70.660912,,SANTA LAURA
82,VALLE DE VIDA,,INDEPENDENCIA,-33.407093,-70.660249,,VALLE DE VIDA
83,ECUANASER,,ISLA DE MAIPO,-33.745037,-70.864777,,ECUANASER
84,ECUANASER,,ISLA DE MAIPO,-33.754429,-70.900940,,ECUANASER
85,FARMAMARKET,,ISLA DE MAIPO,-33.756367,-70.896568,,FARMAMARKET
86,SALCOBRAND,,LA CISTERNA,-33.538005,-70.664369,,SALCOBRAND
87,AHUMADA,,LA CISTERNA,-33.538335,-70.663864,,AHUMADA
88,AHUMADA,,LA CISTERNA,-33.52358,-70.660504,,AHUMADA
89,BELEN,,LA CISTERNA,-33.5358487,-70.66409249999998,,BELEN
90,CRUZ VERDE,,LA CISTERNA,-33.538403,-70.664446,,CRUZ VERDE
91,DEL DR. SIMI,,LA CISTERNA,-33.5378,-70.663723,,DEL DR. SIMI
92,DEL DR. SIMI,,LA CISTERNA,-33.527418,-70.661756,,DEL DR. SIMI
93,MARTINEZ  ACUNA,,LA CISTERNA,-33.54348,-70.666708,,MARTINEZ  ACUNA
94,SALCOBRAND,,LA CISTERNA,-33.518528,-70.659275,,SALCOBRAND
95,MANRIQUEZ,,LA CISTERNA,-33.523955,-70.660611,,MANRIQUEZ
96,SALCOBRAND,,LA CISTERNA,-33.538229,-70.664881,,SALCOBRAND
97,AHUMADA,,LA FLORIDA,-33.511522,-70.590659,,AHUMADA
98,AHUMADA,,LA FLORIDA,-33.51988985915592,-70.59560333596801,,AHUMADA
99,AHUMADA,,LA FLORIDA,-33.516006,-70.5976,,AHUMADA
100,AHUMADA,,LA FLORIDA,-33.543243,-70.570288,,AHUMADA
101,AHUMADA,,LA FLORIDA,-33.535917,-70.555482,,AHUMADA
102,AHUMADA,,LA FLORIDA,-33.545723,-70.569232,,AHUMADA
103,AHUMADA,,LA FLORIDA,-33.510377,-70.608662,,AHUMADA
104,AHUMADA,,LA FLORIDA,-33.511162,-70.608098,,AHUMADA
105,AHUMADA,,LA FLORIDA,-33.515655,-70.606581,,AHUMADA
106,AHUMADA,,LA FLORIDA,-33.535135,-70.593341,,AHUMADA
107,AHUMADA,,LA FLORIDA,-33.543827,-70.58935,,AHUMADA
108,AHUMADA,,LA FLORIDA,-33.519608,-70.602804,,AHUMADA
109,AHUMADA,,LA FLORIDA,-33.522524,-70.579158,,AHUMADA
110,BELEN,,LA FLORIDA,-33.522497,-70.574622,,BELEN
111,C.A.,,LA FLORIDA,-33.539579,-70.603521,,C.A.
112,CRUZ VERDE,,LA FLORIDA,-33.522077,-70.597461,,CRUZ VERDE
113,CRUZ VERDE,,LA FLORIDA,-33.539606,-70.583173,,CRUZ VERDE
114,CRUZ VERDE,,LA FLORIDA,-33.539997,-70.571672,,CRUZ VERDE
115,CRUZ VERDE,,LA FLORIDA,-33.55396,-70.602718,,CRUZ VERDE
116,CRUZ VERDE,,LA FLORIDA,-33.534741,-70.554336,,CRUZ VERDE
117,CRUZ VERDE,,LA FLORIDA,-33.526927,-70.596404,,CRUZ VERDE
118,CRUZ VERDE,,LA FLORIDA,-33.553512,-70.586767,,CRUZ VERDE
119,CRUZ VERDE,,LA FLORIDA,-33.510715,-70.608632,,CRUZ VERDE
120,CRUZ VERDE,,LA FLORIDA,-33.51926,-70.600275,,CRUZ VERDE
121,CRUZ VERDE,,LA FLORIDA,-33.51926,-70.600275,,CRUZ VERDE
122,CRUZ VERDE,,LA FLORIDA,-33.546543,-70.588089,,CRUZ VERDE
123,CRUZ VERDE,,LA FLORIDA,-33.510449,-70.608448,,CRUZ VERDE
124,CRUZ VERDE,,LA FLORIDA,-33.522345,-70.579265,,CRUZ VERDE
125,DEL DR. SIMI,,LA FLORIDA,-33.521946,-70.579651,,DEL DR. SIMI
