"","Id","Label","timeset","farmacia","latitude","longitude","Zona","Farm","columna1"
"1","1","AHUMADA",NA,"BUIN",-33.732,-70.735941,"","AHUMADA","AHUMADA"
"2","2","BUIN",NA,"BUIN",-33.729515,-70.739232,"","BUIN","OTRO"
"3","3","CRUZ VERDE",NA,"BUIN",-33.733423,-70.737859,"","CRUZ VERDE","CRUZ VERDE"
"4","4","EL ALBA",NA,"BUIN",-33.761703,-70.735348,"","EL ALBA","OTRO"
"5","5","PLAZA BUIN",NA,"BUIN",-33.732228,-70.748244,"","PLAZA BUIN","OTRO"
"6","6","SALCOBRAND",NA,"BUIN",-33.730963,-70.774937,"","SALCOBRAND","SALCOBRAND"
"7","7","CALERA DE TANGO",NA,"CALERA DE TANGO",-33.629789,-70.762771,"","CALERA DE TANGO","OTRO"
"8","8","CRUZ VERDE",NA,"CALERA DE TANGO",-33.573438,-70.768774,"","CRUZ VERDE","CRUZ VERDE"
"9","9","AHUMADA",NA,"CERRILLOS",-33.518821,-70.707453,"","AHUMADA","AHUMADA"
"10","10","CRUZ VERDE",NA,"CERRILLOS",-33.515827,-70.71547,"","CRUZ VERDE","CRUZ VERDE"
"11","11","LA FE",NA,"CERRILLOS",-33.504598,-70.71962,"","LA FE","OTRO"
"12","12","VILLA MEXICO",NA,"CERRILLOS",-33.509773,-70.731929,"","VILLA MEXICO","OTRO"
"13","13","SALCOBRAND",NA,"CERRILLOS",-33.515049,-70.717181,"","SALCOBRAND","SALCOBRAND"
"14","14","DAVIFAR",NA,"CERRO NAVIA",-33.429131,-70.726508,"","DAVIFAR","OTRO"
"15","15","LAS TORRES",NA,"CERRO NAVIA",-33.428999,-70.730842,"","LAS TORRES","OTRO"
"16","16","SANTO THOMAS",NA,"CERRO NAVIA",-33.429812,-70.740262,"","SANTO THOMAS","OTRO"
"17","17","SILVA",NA,"CERRO NAVIA",-33.416828,-70.75024,"","SILVA","OTRO"
"18","18","LA UNION",NA,"CERRO NAVIA",-33.416666,-70.756012,"","LA UNION","OTRO"
"19","19","NEPTUNO",NA,"CERRO NAVIA",-33.430582,-70.720156,"","NEPTUNO","OTRO"
"20","20","AHUMADA",NA,"COLINA",-33.285167,-70.680634,"","AHUMADA","AHUMADA"
"21","21","AHUMADA",NA,"COLINA",-33.276682,-70.628112,"","AHUMADA","AHUMADA"
"22","22","AHUMADA",NA,"COLINA",-33.20679,-70.677604,"","AHUMADA","AHUMADA"
"23","23","BELEN",NA,"COLINA",-33.201996,-70.673851,"","BELEN","OTRO"
"24","24","CRUZ VERDE",NA,"COLINA",-33.204402,-70.676177,"","CRUZ VERDE","CRUZ VERDE"
"25","25","CRUZ VERDE",NA,"COLINA",-33.206653,-70.67745,"","CRUZ VERDE","CRUZ VERDE"
"26","26","NUEVA REAL",NA,"COLINA",-33.204546,-70.675481,"","NUEVA REAL","OTRO"
"27","27","SAN MARTIN",NA,"COLINA",-33.204707,-70.675653,"","SAN MARTIN","OTRO"
"28","28","SALCOBRAND",NA,"COLINA",-33.28584,-70.675528,"","SALCOBRAND","SALCOBRAND"
"29","29","SALCOBRAND",NA,"COLINA",-33.286342,-70.675789,"","SALCOBRAND","SALCOBRAND"
"30","30","AHUMADA",NA,"CONCHALI",-33.391512,-70.675618,"","AHUMADA","AHUMADA"
"31","31","AHUMADA",NA,"CONCHALI",-33.371545,-70.671232,"","AHUMADA","AHUMADA"
"32","32","BELEN",NA,"CONCHALI",-33.369164,-70.688358,"","BELEN","OTRO"
"33","33","BELEN",NA,"CONCHALI",-33.396802,-70.670782,"","BELEN","OTRO"
"34","34","BELEN",NA,"CONCHALI",-33.384673,-70.680374,"","BELEN","OTRO"
"35","35","CRUZ VERDE",NA,"CONCHALI",-33.373601,-70.681658,"","CRUZ VERDE","CRUZ VERDE"
"36","36","CRUZ VERDE",NA,"CONCHALI",-33.395801,-70.671745,"","CRUZ VERDE","CRUZ VERDE"
"37","37","CRUZ VERDE",NA,"CONCHALI",-33.384684,-70.680084,"","CRUZ VERDE","CRUZ VERDE"
"38","38","CRUZ VERDE",NA,"CURACAVI",-33.402767,-71.129139,"","CRUZ VERDE","CRUZ VERDE"
"39","39","CURACAVI",NA,"CURACAVI",-33.40257,-71.129915,"","CURACAVI","OTRO"
"40","40","EL SOL",NA,"CURACAVI",-33.404934,-71.135298,"","EL SOL","OTRO"
"41","41","AHUMADA",NA,"EL BOSQUE",-33.54579,-70.667759,"","AHUMADA","AHUMADA"
"42","42","ALAMEDA",NA,"EL BOSQUE",-33.561121,-70.670763,"","ALAMEDA","OTRO"
"43","43","BELEN",NA,"EL BOSQUE",-33.58241,-70.676809,"","BELEN","OTRO"
"44","44","BELEN",NA,"EL BOSQUE",-33.582698,-70.676898,"","BELEN","OTRO"
"45","45","SALUD/CANAIMA",NA,"EL BOSQUE",-33.55352,-70.660676,"","SALUD/CANAIMA","OTRO"
"46","46","CRUZ VERDE",NA,"EL BOSQUE",-33.55402,-70.675009,"","CRUZ VERDE","CRUZ VERDE"
"47","47","CRUZ VERDE",NA,"EL BOSQUE",-33.55014,-70.671941,"","CRUZ VERDE","CRUZ VERDE"
"48","48","CRUZ VERDE",NA,"EL BOSQUE",-33.574529,-70.690897,"","CRUZ VERDE","CRUZ VERDE"
"49","49","LOS MAQUIS",NA,"EL BOSQUE",-33.561361,-70.663524,"","LOS MAQUIS","OTRO"
"50","50","SALCOBRAND",NA,"EL BOSQUE",-33.545401,-70.668164,"","SALCOBRAND","SALCOBRAND"
"51","51","AHUMADA",NA,"ESTACION CENTRAL",-33.457041,-70.70509,"","AHUMADA","AHUMADA"
"52","52","AHUMADA",NA,"ESTACION CENTRAL",-33.452695,-70.69151,"","AHUMADA","AHUMADA"
"53","53","BELGO CHILENA",NA,"ESTACION CENTRAL",-33.45393,-70.687752,"","BELGO CHILENA","OTRO"
"54","54","CARRERA",NA,"ESTACION CENTRAL",-33.471008,-70.692411,"","CARRERA","OTRO"
"55","55","CRUZ VERDE",NA,"ESTACION CENTRAL",-33.451139,-70.679883,"","CRUZ VERDE","CRUZ VERDE"
"56","56","CRUZ VERDE",NA,"ESTACION CENTRAL",-33.453339,-70.687819,"","CRUZ VERDE","CRUZ VERDE"
"57","57","CRUZ VERDE",NA,"ESTACION CENTRAL",-33.467564,-70.729965,"","CRUZ VERDE","CRUZ VERDE"
"58","58","CRUZ VERDE",NA,"ESTACION CENTRAL",-33.453006,-70.680365,"","CRUZ VERDE","CRUZ VERDE"
"59","59","DEL DR. SIMI",NA,"ESTACION CENTRAL",-33.454199,-70.692347,"","DEL DR. SIMI","OTRO"
"60","60","ELENA",NA,"ESTACION CENTRAL",-33.465727,-70.708569,"","ELENA","OTRO"
"61","61","PURA SALUD",NA,"ESTACION CENTRAL",-33.461825,-70.698417,"","PURA SALUD","OTRO"
"62","62","SALCOBRAND",NA,"ESTACION CENTRAL",-33.450755,-70.679185,"","SALCOBRAND","SALCOBRAND"
"63","63","SALCOBRAND",NA,"ESTACION CENTRAL",-33.451979,-70.682283,"","SALCOBRAND","SALCOBRAND"
"64","64","SALCOBRAND",NA,"ESTACION CENTRAL",-33.453151,-70.687245,"","SALCOBRAND","SALCOBRAND"
"65","65","SALCOBRAND",NA,"ESTACION CENTRAL",-33.453167,-70.68039,"","SALCOBRAND","SALCOBRAND"
"66","66","SALCOBRAND",NA,"ESTACION CENTRAL",-33.451101,-70.679644,"","SALCOBRAND","SALCOBRAND"
"67","67","SALCOBRAND",NA,"HUECHURABA",-33.368062,-70.678301,"","SALCOBRAND","SALCOBRAND"
"68","68","SALCOBRAND",NA,"HUECHURABA",-33.368062,-70.678301,"","SALCOBRAND","SALCOBRAND"
"69","69","AHUMADA",NA,"HUECHURABA",-33.368062,-70.678301,"","AHUMADA","AHUMADA"
"70","70","AHUMADA",NA,"HUECHURABA",-33.351179,-70.670396,"","AHUMADA","AHUMADA"
"71","71","CRUZ VERDE",NA,"HUECHURABA",-33.36799,-70.678378,"","CRUZ VERDE","CRUZ VERDE"
"72","72","CRUZ VERDE",NA,"HUECHURABA",-33.347738,-70.670353,"","CRUZ VERDE","CRUZ VERDE"
"73","73","FARMAVIDA",NA,"HUECHURABA",-33.376326,-70.637787,"","FARMAVIDA","OTRO"
"74","74","SALCOBRAND",NA,"HUECHURABA",-33.348222,-70.670417,"","SALCOBRAND","SALCOBRAND"
"75","75","MEDDICA",NA,"INDEPENDENCIA",-33.41751,-70.656496,"","MEDDICA","OTRO"
"76","76","CRUZ VERDE",NA,"INDEPENDENCIA",-33.406802,-70.660646,"","CRUZ VERDE","CRUZ VERDE"
