Source,Target,Type,Id,Label,timeset,Weight,comunas
Metropolitano Sur,1,Undirected,1418,,,1,BUIN
Metropolitano Sur,2,Undirected,1419,,,1,BUIN
Metropolitano Sur,3,Undirected,1420,,,1,BUIN
Metropolitano Sur,4,Undirected,1421,,,1,BUIN
Metropolitano Sur,5,Undirected,1422,,,1,BUIN
Metropolitano Sur,6,Undirected,1423,,,1,BUIN
Metropolitano Sur,7,Undirected,1424,,,1,CALERA DE TANGO
Metropolitano Sur,8,Undirected,1425,,,1,CALERA DE TANGO
Metropolitano Central,9,Undirected,1426,,,1,CERRILLOS
Metropolitano Central,10,Undirected,1427,,,1,CERRILLOS
Metropolitano Central,11,Undirected,1428,,,1,CERRILLOS
Metropolitano Central,12,Undirected,1429,,,1,CERRILLOS
Metropolitano Central,13,Undirected,1430,,,1,CERRILLOS
Metropolitano Occidente,14,Undirected,1431,,,1,CERRO NAVIA
Metropolitano Occidente,15,Undirected,1432,,,1,CERRO NAVIA
Metropolitano Occidente,16,Undirected,1433,,,1,CERRO NAVIA
Metropolitano Occidente,17,Undirected,1434,,,1,CERRO NAVIA
Metropolitano Occidente,18,Undirected,1435,,,1,CERRO NAVIA
Metropolitano Occidente,19,Undirected,1436,,,1,CERRO NAVIA
Metropolitano Norte,20,Undirected,1437,,,1,COLINA
Metropolitano Norte,21,Undirected,1438,,,1,COLINA
Metropolitano Norte,22,Undirected,1439,,,1,COLINA
Metropolitano Norte,23,Undirected,1440,,,1,COLINA
Metropolitano Norte,24,Undirected,1441,,,1,COLINA
Metropolitano Norte,25,Undirected,1442,,,1,COLINA
Metropolitano Norte,26,Undirected,1443,,,1,COLINA
Metropolitano Norte,27,Undirected,1444,,,1,COLINA
Metropolitano Norte,28,Undirected,1445,,,1,COLINA
Metropolitano Norte,29,Undirected,1446,,,1,COLINA
Metropolitano Norte,30,Undirected,1447,,,1,CONCHALI
Metropolitano Norte,31,Undirected,1448,,,1,CONCHALI
Metropolitano Norte,32,Undirected,1449,,,1,CONCHALI
Metropolitano Norte,33,Undirected,1450,,,1,CONCHALI
Metropolitano Norte,34,Undirected,1451,,,1,CONCHALI
