Id,Label,timeset,farmacia,latitude,longitude,NOmbre,comune,weighted indegree,weighted outdegree,weighted degree,indegree,outdegree,degree,Authority,Hub,pageranks,clustering,triangles
1,AHUMADA,,BUIN,33.732,-70.735941,AHUMADA,,0,1,1,0,1,1,0,0,0.000797,0,0
2,BUIN,,BUIN,33.729515,-70.739232,BUIN,,0,1,1,0,1,1,0,0,0.000797,0,0
3,CRUZ VERDE,,BUIN,33.733423,-70.737859,CRUZ VERDE,,0,1,1,0,1,1,0,0,0.000797,0,0
4,EL ALBA,,BUIN,33.761703,-70.735348,EL ALBA,,0,1,1,0,1,1,0,0,0.000797,0,0
5,PLAZA BUIN,,BUIN,33.732228,-70.748244,PLAZA BUIN,,0,1,1,0,1,1,0,0,0.000797,0,0
6,SALCOBRAND,,BUIN,33.730963,-70.774937,SALCOBRAND,,0,1,1,0,1,1,0,0,0.000797,0,0
7,CALERA DE TANGO,,CALERA DE TANGO,33.629789,-70.762771,CALERA DE TANGO,,0,1,1,0,1,1,0,0,0.000861,0,0
8,CRUZ VERDE,,CALERA DE TANGO,33.573438,-70.768774,CRUZ VERDE,,0,1,1,0,1,1,0,0,0.000861,0,0
9,AHUMADA,,CERRILLOS,33.518821,-70.707453,AHUMADA,,0,1,1,0,1,1,0,0,0.000778,0,0
10,CRUZ VERDE,,CERRILLOS,33.515827,-70.71547,CRUZ VERDE,,0,1,1,0,1,1,0,0,0.000778,0,0
11,LA FE,,CERRILLOS,33.504598,-70.71962,LA FE,,0,1,1,0,1,1,0,0,0.000778,0,0
12,VILLA MEXICO,,CERRILLOS,33.509773,-70.731929,VILLA MEXICO,,0,1,1,0,1,1,0,0,0.000778,0,0
13,SALCOBRAND,,CERRILLOS,33.515049,-70.717181,SALCOBRAND,,0,1,1,0,1,1,0,0,0.000778,0,0
14,DAVIFAR,,CERRO NAVIA,33.429131,-70.726508,DAVIFAR,,0,1,1,0,1,1,0,0,0.000811,0,0
15,LAS TORRES,,CERRO NAVIA,33.428999,-70.730842,LAS TORRES,,0,1,1,0,1,1,0,0,0.000811,0,0
16,SANTO THOMAS,,CERRO NAVIA,33.429812,-70.740262,SANTO THOMAS,,0,1,1,0,1,1,0,0,0.000811,0,0
17,SILVA,,CERRO NAVIA,33.416828,-70.75024,SILVA,,0,1,1,0,1,1,0,0,0.000811,0,0
18,LA UNION,,CERRO NAVIA,33.416666,-70.756012,LA UNION,,0,1,1,0,1,1,0,0,0.000811,0,0
19,NEPTUNO,,CERRO NAVIA,33.430582,-70.720156,NEPTUNO,,0,1,1,0,1,1,0,0,0.000811,0,0
20,AHUMADA,,COLINA,33.285167,-70.680634,AHUMADA,,0,1,1,0,1,1,0,0,0.000744,0,0
21,AHUMADA,,COLINA,33.276682,-70.628112,AHUMADA,,0,1,1,0,1,1,0,0,0.000744,0,0
22,AHUMADA,,COLINA,33.20679,-70.677604,AHUMADA,,0,1,1,0,1,1,0,0,0.000744,0,0
23,BELEN,,COLINA,33.201996,-70.673851,BELEN,,0,1,1,0,1,1,0,0,0.000744,0,0
24,CRUZ VERDE,,COLINA,33.204402,-70.676177,CRUZ VERDE,,0,1,1,0,1,1,0,0,0.000744,0,0
25,CRUZ VERDE,,COLINA,33.206653,-70.67745,CRUZ VERDE,,0,1,1,0,1,1,0,0,0.000744,0,0
26,NUEVA REAL,,COLINA,33.204546,-70.675481,NUEVA REAL,,0,1,1,0,1,1,0,0,0.000744,0,0
27,SAN MARTIN,,COLINA,33.204707,-70.675653,SAN MARTIN,,0,1,1,0,1,1,0,0,0.000744,0,0
28,SALCOBRAND,,COLINA,33.28584,-70.675528,SALCOBRAND,,0,1,1,0,1,1,0,0,0.000744,0,0
29,SALCOBRAND,,COLINA,33.286342,-70.675789,SALCOBRAND,,0,1,1,0,1,1,0,0,0.000744,0,0
30,AHUMADA,,CONCHALI,33.391512,-70.675618,AHUMADA,,0,1,1,0,1,1,0,0,0.000778,0,0
31,AHUMADA,,CONCHALI,33.371545,-70.671232,AHUMADA,,0,1,1,0,1,1,0,0,0.000778,0,0
32,BELEN,,CONCHALI,33.369164,-70.688358,BELEN,,0,1,1,0,1,1,0,0,0.000778,0,0
33,BELEN,,CONCHALI,33.396802,-70.670782,BELEN,,0,1,1,0,1,1,0,0,0.000778,0,0
34,BELEN,,CONCHALI,33.384673,-70.680374,BELEN,,0,1,1,0,1,1,0,0,0.000778,0,0
35,CRUZ VERDE,,CONCHALI,33.373601,-70.681658,CRUZ VERDE,,0,1,1,0,1,1,0,0,0.000778,0,0
36,CRUZ VERDE,,CONCHALI,33.395801,-70.671745,CRUZ VERDE,,0,1,1,0,1,1,0,0,0.000778,0,0
37,CRUZ VERDE,,CONCHALI,33.384684,-70.680084,CRUZ VERDE,,0,1,1,0,1,1,0,0,0.000778,0,0
38,CRUZ VERDE,,CURACAVI,33.402767,-71.129139,CRUZ VERDE,,0,1,1,0,1,1,0,0,0.000912,0,0
