Id,Label,timeset,latitude,longitude,comuna
1,AHUMADA,,-33732,70735941,BUIN
2,BUIN,,-33729515,70739232,BUIN
3,CRUZ VERDE,,-33733423,70737859,BUIN
4,EL ALBA,,-33761703,70735348,BUIN
5,PLAZA BUIN,,-33732228,70748244,BUIN
6,SALCOBRAND,,-33730963,70774937,BUIN
7,CALERA DE TANGO,,-33629789,70762771,CALERA DE TANGO
8,CRUZ VERDE,,-33573438,70768774,CALERA DE TANGO
9,AHUMADA,,-33518821,70707453,CERRILLOS
10,CRUZ VERDE,,-33515827,7071547,CERRILLOS
11,LA FE,,-33504598,7071962,CERRILLOS
12,VILLA MEXICO,,-33509773,70731929,CERRILLOS
13,SALCOBRAND,,-33515049,70717181,CERRILLOS
14,DAVIFAR,,-33429131,70726508,CERRO NAVIA
15,LAS TORRES,,-33428999,70730842,CERRO NAVIA
16,SANTO THOMAS,,-33429812,70740262,CERRO NAVIA
17,SILVA,,-33416828,7075024,CERRO NAVIA
18,LA UNION,,-33416666,70756012,CERRO NAVIA
19,NEPTUNO,,-33430582,70720156,CERRO NAVIA
20,AHUMADA,,-33285167,70680634,COLINA
21,AHUMADA,,-33276682,70628112,COLINA
22,AHUMADA,,-3320679,70677604,COLINA
23,BELEN,,-33201996,70673851,COLINA
24,CRUZ VERDE,,-33204402,70676177,COLINA
25,CRUZ VERDE,,-33206653,7067745,COLINA
26,NUEVA REAL,,-33204546,70675481,COLINA
27,SAN MARTIN,,-33204707,70675653,COLINA
28,SALCOBRAND,,-3328584,70675528,COLINA
29,SALCOBRAND,,-33286342,70675789,COLINA
30,AHUMADA,,-33391512,70675618,CONCHALI
31,AHUMADA,,-33371545,70671232,CONCHALI
32,BELEN,,-33369164,70688358,CONCHALI
33,BELEN,,-33396802,70670782,CONCHALI
34,BELEN,,-33384673,70680374,CONCHALI
35,CRUZ VERDE,,-33373601,70681658,CONCHALI
36,CRUZ VERDE,,-33395801,70671745,CONCHALI
37,CRUZ VERDE,,-33384684,70680084,CONCHALI
38,CRUZ VERDE,,-33402767,71129139,CURACAVI
39,CURACAVI,,-3340257,71129915,CURACAVI
40,EL SOL,,-33404934,71135298,CURACAVI
41,AHUMADA,,-3354579,70667759,EL BOSQUE
42,ALAMEDA,,-33561121,70670763,EL BOSQUE
43,BELEN,,-3358241,70676809,EL BOSQUE
44,BELEN,,-33582698,70676898,EL BOSQUE
45,SALUD/CANAIMA,,-3355352,70660676,EL BOSQUE
46,CRUZ VERDE,,-3355402,70675009,EL BOSQUE
47,CRUZ VERDE,,-3355014,70671941,EL BOSQUE
48,CRUZ VERDE,,-33574529,70690897,EL BOSQUE
49,LOS MAQUIS,,-33561361,70663524,EL BOSQUE
50,SALCOBRAND,,-33545401,70668164,EL BOSQUE
51,AHUMADA,,-33457041,7070509,ESTACION CENTRAL
52,AHUMADA,,-33452695,7069151,ESTACION CENTRAL
