Source,Target,Type,Id,Label,timeset,Weight
1,BUIN,Directed,713,,,1
2,BUIN,Directed,714,,,1
3,BUIN,Directed,715,,,1
4,BUIN,Directed,716,,,1
5,BUIN,Directed,717,,,1
6,BUIN,Directed,718,,,1
7,CALERA DE TANGO,Directed,719,,,1
8,CALERA DE TANGO,Directed,720,,,1
9,CERRILLOS,Directed,721,,,1
10,CERRILLOS,Directed,722,,,1
11,CERRILLOS,Directed,723,,,1
12,CERRILLOS,Directed,724,,,1
13,CERRILLOS,Directed,725,,,1
14,CERRO NAVIA,Directed,726,,,1
15,CERRO NAVIA,Directed,727,,,1
16,CERRO NAVIA,Directed,728,,,1
17,CERRO NAVIA,Directed,729,,,1
18,CERRO NAVIA,Directed,730,,,1
19,CERRO NAVIA,Directed,731,,,1
20,COLINA,Directed,732,,,1
21,COLINA,Directed,733,,,1
22,COLINA,Directed,734,,,1
23,COLINA,Directed,735,,,1
24,COLINA,Directed,736,,,1
25,COLINA,Directed,737,,,1
26,COLINA,Directed,738,,,1
27,COLINA,Directed,739,,,1
28,COLINA,Directed,740,,,1
29,COLINA,Directed,741,,,1
30,CONCHALI,Directed,742,,,1
31,CONCHALI,Directed,743,,,1
32,CONCHALI,Directed,744,,,1
33,CONCHALI,Directed,745,,,1
34,CONCHALI,Directed,746,,,1
35,CONCHALI,Directed,747,,,1
36,CONCHALI,Directed,748,,,1
37,CONCHALI,Directed,749,,,1
38,CURACAVI,Directed,750,,,1
39,CURACAVI,Directed,751,,,1
40,CURACAVI,Directed,752,,,1
41,EL BOSQUE,Directed,753,,,1
42,EL BOSQUE,Directed,754,,,1
43,EL BOSQUE,Directed,755,,,1
44,EL BOSQUE,Directed,756,,,1
45,EL BOSQUE,Directed,757,,,1
46,EL BOSQUE,Directed,758,,,1
47,EL BOSQUE,Directed,759,,,1
48,EL BOSQUE,Directed,760,,,1
49,EL BOSQUE,Directed,761,,,1
50,EL BOSQUE,Directed,762,,,1
51,ESTACION CENTRAL,Directed,763,,,1
52,ESTACION CENTRAL,Directed,764,,,1
53,ESTACION CENTRAL,Directed,765,,,1
54,ESTACION CENTRAL,Directed,766,,,1
55,ESTACION CENTRAL,Directed,767,,,1
56,ESTACION CENTRAL,Directed,768,,,1
57,ESTACION CENTRAL,Directed,769,,,1
58,ESTACION CENTRAL,Directed,770,,,1
59,ESTACION CENTRAL,Directed,771,,,1
60,ESTACION CENTRAL,Directed,772,,,1
61,ESTACION CENTRAL,Directed,773,,,1
62,ESTACION CENTRAL,Directed,774,,,1
63,ESTACION CENTRAL,Directed,775,,,1
64,ESTACION CENTRAL,Directed,776,,,1
65,ESTACION CENTRAL,Directed,777,,,1
66,ESTACION CENTRAL,Directed,778,,,1
67,HUECHURABA,Directed,779,,,1
68,HUECHURABA,Directed,780,,,1
69,HUECHURABA,Directed,781,,,1
70,HUECHURABA,Directed,782,,,1
71,HUECHURABA,Directed,783,,,1
72,HUECHURABA,Directed,784,,,1
73,HUECHURABA,Directed,785,,,1
74,HUECHURABA,Directed,786,,,1
75,INDEPENDENCIA,Directed,787,,,1
76,INDEPENDENCIA,Directed,788,,,1
77,INDEPENDENCIA,Directed,789,,,1
78,INDEPENDENCIA,Directed,790,,,1
79,INDEPENDENCIA,Directed,791,,,1
80,INDEPENDENCIA,Directed,792,,,1
81,INDEPENDENCIA,Directed,793,,,1
82,INDEPENDENCIA,Directed,794,,,1
83,ISLA DE MAIPO,Directed,795,,,1
84,ISLA DE MAIPO,Directed,796,,,1
85,ISLA DE MAIPO,Directed,797,,,1
86,LA CISTERNA,Directed,798,,,1
87,LA CISTERNA,Directed,799,,,1
88,LA CISTERNA,Directed,800,,,1
89,LA CISTERNA,Directed,801,,,1
90,LA CISTERNA,Directed,802,,,1
91,LA CISTERNA,Directed,803,,,1
92,LA CISTERNA,Directed,804,,,1
93,LA CISTERNA,Directed,805,,,1
94,LA CISTERNA,Directed,806,,,1
95,LA CISTERNA,Directed,807,,,1
96,LA CISTERNA,Directed,808,,,1
97,LA FLORIDA,Directed,809,,,1
98,LA FLORIDA,Directed,810,,,1
99,LA FLORIDA,Directed,811,,,1
100,LA FLORIDA,Directed,812,,,1
101,LA FLORIDA,Directed,813,,,1
102,LA FLORIDA,Directed,814,,,1
103,LA FLORIDA,Directed,815,,,1
104,LA FLORIDA,Directed,816,,,1
105,LA FLORIDA,Directed,817,,,1
106,LA FLORIDA,Directed,818,,,1
107,LA FLORIDA,Directed,819,,,1
108,LA FLORIDA,Directed,820,,,1
109,LA FLORIDA,Directed,821,,,1
110,LA FLORIDA,Directed,822,,,1
111,LA FLORIDA,Directed,823,,,1
112,LA FLORIDA,Directed,824,,,1
113,LA FLORIDA,Directed,825,,,1
114,LA FLORIDA,Directed,826,,,1
115,LA FLORIDA,Directed,827,,,1
116,LA FLORIDA,Directed,828,,,1
117,LA FLORIDA,Directed,829,,,1
118,LA FLORIDA,Directed,830,,,1
119,LA FLORIDA,Directed,831,,,1
120,LA FLORIDA,Directed,832,,,1
121,LA FLORIDA,Directed,833,,,1
122,LA FLORIDA,Directed,834,,,1
123,LA FLORIDA,Directed,835,,,1
124,LA FLORIDA,Directed,836,,,1
125,LA FLORIDA,Directed,837,,,1
126,LA FLORIDA,Directed,838,,,1
127,LA FLORIDA,Directed,839,,,1
128,LA FLORIDA,Directed,840,,,1
129,LA FLORIDA,Directed,841,,,1
130,LA FLORIDA,Directed,842,,,1
131,LA FLORIDA,Directed,843,,,1
132,LA FLORIDA,Directed,844,,,1
133,LA FLORIDA,Directed,845,,,1
134,LA FLORIDA,Directed,846,,,1
135,LA FLORIDA,Directed,847,,,1
136,LA FLORIDA,Directed,848,,,1
137,LA FLORIDA,Directed,849,,,1
138,LA FLORIDA,Directed,850,,,1
139,LA GRANJA,Directed,851,,,1
140,LA GRANJA,Directed,852,,,1
141,LA GRANJA,Directed,853,,,1
142,LA GRANJA,Directed,854,,,1
143,LA PINTANA,Directed,855,,,1
144,LA PINTANA,Directed,856,,,1
145,LA PINTANA,Directed,857,,,1
146,LA PINTANA,Directed,858,,,1
147,LA PINTANA,Directed,859,,,1
148,LA REINA,Directed,860,,,1
149,LA REINA,Directed,861,,,1
150,LA REINA,Directed,862,,,1
151,LA REINA,Directed,863,,,1
152,LA REINA,Directed,864,,,1
153,LA REINA,Directed,865,,,1
154,LA REINA,Directed,866,,,1
155,LA REINA,Directed,867,,,1
156,LA REINA,Directed,868,,,1
157,LA REINA,Directed,869,,,1
158,LO BARNECHEA,Directed,870,,,1
159,LA REINA,Directed,871,,,1
160,LA REINA,Directed,872,,,1
161,LA REINA,Directed,873,,,1
162,LAMPA,Directed,874,,,1
163,LAMPA,Directed,875,,,1
164,LAMPA,Directed,876,,,1
