,Source,Target
1,1,BUIN
2,2,BUIN
3,3,BUIN
4,4,BUIN
5,5,BUIN
6,6,BUIN
7,7,CALERA DE TANGO
8,8,CALERA DE TANGO
9,9,CERRILLOS
10,10,CERRILLOS
11,11,CERRILLOS
12,12,CERRILLOS
13,13,CERRILLOS
14,14,CERRO NAVIA
15,15,CERRO NAVIA
16,16,CERRO NAVIA
17,17,CERRO NAVIA
18,18,CERRO NAVIA
19,19,CERRO NAVIA
20,20,COLINA
21,21,COLINA
22,22,COLINA
23,23,COLINA
24,24,COLINA
25,25,COLINA
26,26,COLINA
27,27,COLINA
28,28,COLINA
29,29,COLINA
30,30,CONCHALI
31,31,CONCHALI
32,32,CONCHALI
33,33,CONCHALI
34,34,CONCHALI
35,35,CONCHALI
36,36,CONCHALI
37,37,CONCHALI
38,38,CURACAVI
39,39,CURACAVI
40,40,CURACAVI
41,41,EL BOSQUE
42,42,EL BOSQUE
43,43,EL BOSQUE
44,44,EL BOSQUE
45,45,EL BOSQUE
46,46,EL BOSQUE
47,47,EL BOSQUE
48,48,EL BOSQUE
49,49,EL BOSQUE
50,50,EL BOSQUE
51,51,ESTACION CENTRAL
52,52,ESTACION CENTRAL
53,53,ESTACION CENTRAL
54,54,ESTACION CENTRAL
55,55,ESTACION CENTRAL
56,56,ESTACION CENTRAL
57,57,ESTACION CENTRAL
58,58,ESTACION CENTRAL
59,59,ESTACION CENTRAL
60,60,ESTACION CENTRAL
61,61,ESTACION CENTRAL
62,62,ESTACION CENTRAL
63,63,ESTACION CENTRAL
64,64,ESTACION CENTRAL
65,65,ESTACION CENTRAL
66,66,ESTACION CENTRAL
67,67,HUECHURABA
68,68,HUECHURABA
69,69,HUECHURABA
70,70,HUECHURABA
71,71,HUECHURABA
72,72,HUECHURABA
73,73,HUECHURABA
74,74,HUECHURABA
75,75,INDEPENDENCIA
76,76,INDEPENDENCIA
77,77,INDEPENDENCIA
78,78,INDEPENDENCIA
79,79,INDEPENDENCIA
80,80,INDEPENDENCIA
81,81,INDEPENDENCIA
82,82,INDEPENDENCIA
83,83,ISLA DE MAIPO
84,84,ISLA DE MAIPO
85,85,ISLA DE MAIPO
86,86,LA CISTERNA
87,87,LA CISTERNA
88,88,LA CISTERNA
89,89,LA CISTERNA
90,90,LA CISTERNA
91,91,LA CISTERNA
92,92,LA CISTERNA
93,93,LA CISTERNA
94,94,LA CISTERNA
95,95,LA CISTERNA
96,96,LA CISTERNA
97,97,LA FLORIDA
98,98,LA FLORIDA
99,99,LA FLORIDA
100,100,LA FLORIDA
101,101,LA FLORIDA
102,102,LA FLORIDA
103,103,LA FLORIDA
104,104,LA FLORIDA
105,105,LA FLORIDA
106,106,LA FLORIDA
107,107,LA FLORIDA
108,108,LA FLORIDA
109,109,LA FLORIDA
110,110,LA FLORIDA
111,111,LA FLORIDA
112,112,LA FLORIDA
113,113,LA FLORIDA
114,114,LA FLORIDA
115,115,LA FLORIDA
116,116,LA FLORIDA
117,117,LA FLORIDA
118,118,LA FLORIDA
119,119,LA FLORIDA
120,120,LA FLORIDA
121,121,LA FLORIDA
122,122,LA FLORIDA
123,123,LA FLORIDA
124,124,LA FLORIDA
125,125,LA FLORIDA
126,126,LA FLORIDA
127,127,LA FLORIDA
128,128,LA FLORIDA
129,129,LA FLORIDA
130,130,LA FLORIDA
131,131,LA FLORIDA
132,132,LA FLORIDA
133,133,LA FLORIDA
134,134,LA FLORIDA
135,135,LA FLORIDA
136,136,LA FLORIDA
137,137,LA FLORIDA
138,138,LA FLORIDA
139,139,LA GRANJA
140,140,LA GRANJA
141,141,LA GRANJA
142,142,LA GRANJA
143,143,LA PINTANA
144,144,LA PINTANA
145,145,LA PINTANA
146,146,LA PINTANA
147,147,LA PINTANA
148,148,LA REINA
149,149,LA REINA
150,150,LA REINA
151,151,LA REINA
152,152,LA REINA
153,153,LA REINA
154,154,LA REINA
155,155,LA REINA
156,156,LA REINA
157,157,LA REINA
158,158,LO BARNECHEA
159,159,LA REINA
160,160,LA REINA
161,161,LA REINA
162,162,LAMPA
163,163,LAMPA
164,164,LAMPA
165,165,LAMPA
166,166,LAMPA
167,167,LAS CONDES
168,168,LAS CONDES
169,169,LAS CONDES
170,170,LAS CONDES
171,171,LAS CONDES
172,172,LAS CONDES
173,173,LAS CONDES
174,174,LAS CONDES
175,175,LAS CONDES
176,176,LAS CONDES
177,177,LAS CONDES
178,178,LAS CONDES
179,179,LAS CONDES
180,180,LAS CONDES
181,181,LAS CONDES
182,182,LAS CONDES
183,183,LAS CONDES
184,184,LAS CONDES
185,185,LAS CONDES
186,186,LAS CONDES
187,187,LAS CONDES
188,188,LAS CONDES
189,189,LAS CONDES
190,190,LAS CONDES
191,191,LAS CONDES
192,192,LAS CONDES
193,193,LAS CONDES
194,194,LAS CONDES
195,195,LAS CONDES
196,196,LAS CONDES
197,197,LAS CONDES
198,198,LAS CONDES
199,199,LAS CONDES
200,200,LAS CONDES
201,201,LAS CONDES
202,202,LO BARNECHEA
203,203,LAS CONDES
204,204,LAS CONDES
205,205,LAS CONDES
206,206,LAS CONDES
207,207,LAS CONDES
208,208,LAS CONDES
209,209,LAS CONDES
210,210,LAS CONDES
211,211,LAS CONDES
212,212,LAS CONDES
213,213,LAS CONDES
214,214,LAS CONDES
215,215,LAS CONDES
216,216,LAS CONDES
217,217,LAS CONDES
218,218,LAS CONDES
219,219,LO BARNECHEA
220,220,LO BARNECHEA
221,221,LO BARNECHEA
222,222,LO BARNECHEA
223,223,LO BARNECHEA
224,224,LO BARNECHEA
225,225,LO BARNECHEA
226,226,LO BARNECHEA
227,227,LO BARNECHEA
228,228,LO BARNECHEA
229,229,LO ESPEJO
230,230,LO ESPEJO
231,231,LO ESPEJO
232,232,LO PRADO
233,233,LO PRADO
234,234,LO PRADO
235,235,LO PRADO
236,236,LO PRADO
237,237,LO PRADO
238,238,MACUL
239,239,MACUL
240,240,MACUL
241,241,MACUL
242,242,MACUL
243,243,MACUL
244,244,MACUL
245,245,MAIPU
246,246,MAIPU
247,247,MAIPU
248,248,MAIPU
249,249,MAIPU
250,250,MAIPU
251,251,MAIPU
252,252,MAIPU
253,253,MAIPU
254,254,MAIPU
255,255,MAIPU
256,256,MAIPU
257,257,MAIPU
258,258,MAIPU
259,259,MAIPU
260,260,MAIPU
261,261,MAIPU
262,262,MAIPU
263,263,MAIPU
264,264,MAIPU
265,265,MAIPU
266,266,MAIPU
267,267,MAIPU
268,268,MAIPU
269,269,LA REINA
270,270,MAIPU
271,271,MAIPU
272,272,MAIPU
273,273,MAIPU
274,274,MAIPU
275,275,MAIPU
276,276,MAIPU
277,277,MAIPU
278,278,MAIPU
279,279,MELIPILLA
280,280,MELIPILLA
281,281,MELIPILLA
282,282,MELIPILLA
283,283,MELIPILLA
284,284,MELIPILLA
285,285,MELIPILLA
286,286,MELIPILLA
287,287,NUNOA
288,288,NUNOA
289,289,NUNOA
290,290,NUNOA
291,291,NUNOA
292,292,NUNOA
293,293,NUNOA
294,294,NUNOA
295,295,NUNOA
296,296,NUNOA
297,297,NUNOA
298,298,NUNOA
299,299,NUNOA
300,300,NUNOA
301,301,NUNOA
302,302,NUNOA
303,303,NUNOA
304,304,NUNOA
305,305,NUNOA
306,306,NUNOA
307,307,NUNOA
308,308,NUNOA
309,309,NUNOA
310,310,NUNOA
311,311,NUNOA
312,312,NUNOA
313,313,NUNOA
314,314,NUNOA
315,315,NUNOA
316,316,NUNOA
317,317,NUNOA
318,318,NUNOA
319,319,PADRE HURTADO
320,320,PADRE HURTADO
321,321,PAINE
322,322,PAINE
323,323,PEDRO AGUIRRE CERDA
324,324,PEDRO AGUIRRE CERDA
325,325,PEDRO AGUIRRE CERDA
326,326,PEDRO AGUIRRE CERDA
327,327,PENAFLOR
328,328,PENAFLOR
329,329,PENAFLOR
330,330,PENAFLOR
331,331,PENAFLOR
332,332,PENAFLOR
333,333,PENAFLOR
334,334,PENAFLOR
335,335,PENALOLEN
336,336,PENALOLEN
337,337,PENALOLEN
338,338,PENALOLEN
339,339,PENALOLEN
340,340,PENALOLEN
341,341,PENALOLEN
342,342,PENALOLEN
343,343,PENALOLEN
344,344,PENALOLEN
345,345,PENALOLEN
346,346,PENALOLEN
347,347,PENALOLEN
348,348,PENALOLEN
349,349,PENALOLEN
350,350,PENALOLEN
351,351,PENALOLEN
352,352,PENALOLEN
353,353,PENALOLEN
354,354,PENALOLEN
355,355,PENALOLEN
356,356,PENALOLEN
357,357,PENALOLEN
358,358,PENALOLEN
359,359,PIRQUE
360,360,PROVIDENCIA
361,361,PROVIDENCIA
362,362,PROVIDENCIA
363,363,PROVIDENCIA
364,364,PROVIDENCIA
365,365,PROVIDENCIA
366,366,PROVIDENCIA
367,367,PROVIDENCIA
368,368,PROVIDENCIA
369,369,PROVIDENCIA
370,370,PROVIDENCIA
371,371,PROVIDENCIA
372,372,PROVIDENCIA
373,373,PROVIDENCIA
374,374,PROVIDENCIA
375,375,PROVIDENCIA
376,376,PROVIDENCIA
377,377,PROVIDENCIA
378,378,PROVIDENCIA
379,379,PROVIDENCIA
380,380,PROVIDENCIA
381,381,PROVIDENCIA
382,382,PROVIDENCIA
383,383,PUDAHUEL
384,384,PUDAHUEL
385,385,PUDAHUEL
386,386,PUDAHUEL
387,387,PUDAHUEL
388,388,PUDAHUEL
389,389,PUDAHUEL
390,390,PUDAHUEL
391,391,PUDAHUEL
392,392,PUDAHUEL
393,393,PUDAHUEL
394,394,PUDAHUEL
395,395,PUDAHUEL
396,396,PUDAHUEL
397,397,PUDAHUEL
398,398,PUDAHUEL
399,399,PUENTE ALTO
400,400,PUENTE ALTO
401,401,PUENTE ALTO
402,402,PUENTE ALTO
403,403,PUENTE ALTO
404,404,PUENTE ALTO
405,405,PUENTE ALTO
406,406,PUENTE ALTO
407,407,PUENTE ALTO
408,408,PUENTE ALTO
409,409,PUENTE ALTO
410,410,PUENTE ALTO
411,411,PUENTE ALTO
412,412,PUENTE ALTO
413,413,PUENTE ALTO
414,414,PUENTE ALTO
415,415,PUENTE ALTO
416,416,PUENTE ALTO
417,417,PUENTE ALTO
418,418,PUENTE ALTO
419,419,PUENTE ALTO
420,420,PUENTE ALTO
421,421,PUENTE ALTO
422,422,PUENTE ALTO
423,423,PUENTE ALTO
424,424,PUENTE ALTO
425,425,PUENTE ALTO
426,426,PUENTE ALTO
427,427,PUENTE ALTO
428,428,PUENTE ALTO
429,429,PUENTE ALTO
430,430,PUENTE ALTO
431,431,PUENTE ALTO
432,432,PUENTE ALTO
433,433,PUENTE ALTO
434,434,QUILICURA
435,435,QUILICURA
436,436,QUILICURA
437,437,QUILICURA
438,438,QUILICURA
439,439,QUILICURA
440,440,QUILICURA
441,441,QUILICURA
442,442,QUILICURA
443,443,QUILICURA
444,444,QUINTA NORMAL
445,445,QUINTA NORMAL
446,446,QUINTA NORMAL
447,447,QUINTA NORMAL
448,448,QUINTA NORMAL
449,449,QUINTA NORMAL
450,450,QUINTA NORMAL
451,451,RECOLETA
452,452,RECOLETA
453,453,RECOLETA
454,454,RECOLETA
455,455,RECOLETA
456,456,RECOLETA
457,457,RECOLETA
458,458,RECOLETA
459,459,RECOLETA
460,460,RENCA
461,461,RENCA
462,462,RENCA
463,463,RENCA
464,464,RENCA
465,465,RENCA
466,466,SAN BERNARDO
467,467,SAN BERNARDO
468,468,SAN BERNARDO
469,469,SAN BERNARDO
470,470,SAN BERNARDO
471,471,SAN BERNARDO
472,472,SAN BERNARDO
473,473,SAN BERNARDO
474,474,SAN BERNARDO
