,Source,Target,distancias,longitudclase,pesos
2,1,2,411.088071753345,A,0.957164979524731
3,1,3,237.71018448754,A,0.974775096272007
714,2,1,411.088071753345,A,0.957164979524731
716,2,3,451.755587148322,A,0.953126088825876
1427,3,1,237.71018448754,A,0.974775096272007
1428,3,2,451.755587148322,A,0.953126088825876
3537,5,685,224.189848638424,A,0.976175641617701
6430,10,13,180.873167209872,A,0.98068995990099
7021,10,604,28.0166830835427,A,0.99695931482945
7039,10,622,1.42861338569009,A,0.999844502116925
7119,10,702,188.594993658463,A,0.979882161628251
8566,13,10,180.873167209872,A,0.98068995990099
9160,13,604,152.857246365458,A,0.983631986377823
9178,13,622,179.639337410566,A,0.980819157138311
9258,13,702,265.020101661801,A,0.971958336818683
9284,14,15,403.320277295815,A,0.957940333982794
9996,15,14,403.320277295815,A,0.957940333982794
13283,19,449,476.324761546022,A,0.95070247819239
13575,20,28,481.450650741595,A,0.95019839126625
13576,20,29,469.753946788319,A,0.951349443840491
14170,20,623,52.7117558785487,A,0.994294420139665
14997,22,24,296.38899506832,A,0.968742953847141
14998,22,25,20.9051772705926,A,0.997729382817707
14999,22,26,317.994106115037,A,0.966540724630181
15000,22,27,294.040202737798,A,0.968982973401894
15651,22,678,263.7235323687,A,0.972091697534563
15667,22,694,96.2842437797498,A,0.989627007454606
15710,23,24,343.860239333769,A,0.963917299073255
15712,23,26,321.064049385501,A,0.966228614614384
15713,23,27,344.430956241632,A,0.96385957571591
16364,23,678,374.575334138572,A,0.960820513007661
16421,24,22,296.38899506832,A,0.968742953847141
16422,24,23,343.860239333769,A,0.963917299073255
16424,24,25,276.431493375489,A,0.970786176138058
16425,24,26,66.8293778048568,A,0.992777349816889
16426,24,27,59.4238136509857,A,0.993572569103734
17077,24,678,33.5388302906708,A,0.996362169626416
17093,24,694,392.006508166245,A,0.959071885248928
17134,25,22,20.9051772705926,A,0.997729382817707
17136,25,24,276.431493375489,A,0.970786176138058
17138,25,26,297.170107393794,A,0.968663159498608
17139,25,27,273.22629333492,A,0.971115123754441
17790,25,678,243.605936187435,A,0.974165624334722
17806,25,694,116.98047082759,A,0.987425377594109
17847,26,22,317.994106115037,A,0.966540724630181
17848,26,23,321.064049385501,A,0.966228614614384
17849,26,24,66.8293778048568,A,0.992777349816889
17850,26,25,297.170107393794,A,0.968663159498608
17852,26,27,24.0004430601932,A,0.997394066418944
18503,26,678,75.0333495220333,A,0.991897881334148
18519,26,694,414.092844840839,A,0.956865389995429
18560,27,22,294.040202737798,A,0.968982973401894
18561,27,23,344.430956241632,A,0.96385957571591
18562,27,24,59.4238136509857,A,0.993572569103734
18563,27,25,273.22629333492,A,0.971115123754441
18564,27,26,24.0004430601932,A,0.997394066418944
19216,27,678,57.1696619373674,A,0.993814875864354
19232,27,694,390.166622574707,A,0.959256154926518
19271,28,20,481.450650741595,A,0.95019839126625
19280,28,29,60.7533528565082,A,0.993429707609801
19823,28,572,33.2131561660444,A,0.996397367008162
19874,28,623,477.902741251397,A,0.950547240546628
19984,29,20,469.753946788319,A,0.951349443840491
19992,29,28,60.7533528565082,A,0.993429707609801
20536,29,572,53.7846837082177,A,0.99417896124809
20587,29,623,459.687733419316,A,0.952342277672764
22852,33,36,142.662267105801,A,0.984706973610325
23566,34,37,27.0107822765151,A,0.997068166411579
24988,36,33,142.662267105801,A,0.984706973610325
25702,37,34,27.0107822765151,A,0.997068166411579
26420,38,39,75.4226928212053,A,0.991856182330798
27132,39,38,75.4226928212053,A,0.991856182330798
28570,41,50,57.2394062418973,A,0.993807377029998
28613,41,93,274.175978471006,A,0.971017634942272
29990,43,44,32.994708547665,A,0.996420977229066
30702,44,43,32.994708547665,A,0.996420977229066
34978,50,41,57.2394062418973,A,0.993807377029998
35030,50,93,252.355440147078,A,0.973262549899758
35884,51,234,52.4279805234986,A,0.9943249619885
35885,51,235,75.4645260655069,A,0.99185170216282
35886,51,236,96.8363813438855,A,0.989568144529044
36416,52,53,375.281566950412,A,0.960749542543263
36419,52,56,350.517134101203,A,0.963244438193212
36422,52,59,184.070664879135,A,0.980355300699752
36427,52,64,399.74144608037,A,0.958297983426292
37128,53,52,375.281566950412,A,0.960749542543263
37132,53,56,65.8446316215921,A,0.992883019779311
37135,53,59,428.245041647324,A,0.955456869741878
37140,53,64,98.4225467065757,A,0.98939908370747
38560,55,58,211.867289387432,A,0.977455621764296
38564,55,62,77.6240774167858,A,0.991620478078436
38565,55,63,241.807101021044,A,0.974351497686217
38567,55,65,229.816744755937,A,0.975592273729781
38568,55,66,22.617131325397,A,0.997543895515134
39020,55,518,221.823016143907,A,0.976421231237568
39129,55,627,255.192483401198,A,0.972970085667287
39211,55,709,375.229183817081,A,0.960754806248093
39267,56,52,350.517134101203,A,0.963244438193212
39268,56,53,65.8446316215921,A,0.992883019779311
39274,56,59,431.647689598098,A,0.955118833848339
39279,56,64,57.2951869956687,A,0.993801379623399
40313,57,385,167.659006902002,A,0.982075418153609
40696,58,55,211.867289387432,A,0.977455621764296
40703,58,62,272.705473311492,A,0.971168596234123
40704,58,63,211.598302536766,A,0.977483599649347
40706,58,65,18.0075550266004,A,0.998043492482616
40707,58,66,221.667182569641,A,0.976437405331358
41159,58,518,240.522631657406,A,0.974484265113991
41268,58,627,218.811345980688,A,0.976733909859514
41350,58,709,184.805642610394,A,0.980278408121707
41406,59,52,184.070664879135,A,0.980355300699752
41407,59,53,428.245041647324,A,0.955456869741878
41410,59,56,431.647689598098,A,0.955118833848339
41418,59,64,488.377264521707,A,0.949518067254809
43548,62,55,77.6240774167858,A,0.991620478078436
43551,62,58,272.705473311492,A,0.971168596234123
43556,62,63,318.424327814201,A,0.966496973399872
43558,62,65,290.032743998257,A,0.969392764275709
43559,62,66,57.3924609721961,A,0.993790921142842
44011,62,518,205.969270783847,A,0.978069454698305
44120,62,627,331.834253417719,A,0.965135239206331
44202,62,709,417.186201845978,A,0.956557164099904
44261,63,55,241.807101021044,A,0.974351497686217
44264,63,58,211.598302536766,A,0.977483599649347
44268,63,62,318.424327814201,A,0.966496973399872
44270,63,64,479.296768113883,A,0.95041014188565
44271,63,65,219.857128026605,A,0.976625311634699
44272,63,66,263.977661759117,A,0.972065555764745
44724,63,518,406.487035817369,A,0.957624087450537
44833,63,627,13.4126614714844,A,0.998541996382693
44915,63,709,381.403015174909,A,0.960134827426298
44971,64,52,399.74144608037,A,0.958297983426292
44972,64,53,98.4225467065757,A,0.98939908370747
44975,64,56,57.2951869956687,A,0.993801379623399
44978,64,59,488.377264521707,A,0.949518067254809
44982,64,63,479.296768113883,A,0.95041014188565
45546,64,627,466.123005423065,A,0.951707325975732
45687,65,55,229.816744755937,A,0.975592273729781
45690,65,58,18.0075550266004,A,0.998043492482616
45694,65,62,290.032743998257,A,0.969392764275709
45695,65,63,219.857128026605,A,0.976625311634699
45698,65,66,239.412076615274,A,0.97459908529357
46150,65,518,249.185335821963,A,0.973589556694673
46259,65,627,226.213979303854,A,0.975965709748232
46341,65,709,170.013919226443,A,0.981828227298412
46400,66,55,22.617131325397,A,0.997543895515134
46403,66,58,221.667182569641,A,0.976437405331358
46407,66,62,57.3924609721961,A,0.993790921142842
46408,66,63,263.977661759117,A,0.972065555764745
46410,66,65,239.412076615274,A,0.97459908529357
46863,66,518,206.640681395801,A,0.977999539136716
46972,66,627,277.346130173076,A,0.970692348418167
47054,66,709,377.998740059323,A,0.960476587212658
47129,67,71,10.7293738010751,A,0.998833338923191
47755,67,697,442.026097300028,A,0.954089267237547
47842,68,71,10.7293738010751,A,0.998833338923191
48468,68,697,442.026097300028,A,0.954089267237547
48555,69,71,10.7293738010751,A,0.998833338923191
49181,69,697,442.026097300028,A,0.954089267237547
49269,70,72,381.664678220412,A,0.960108568784192
49271,70,74,327.968753237716,A,0.965527374349155
49862,70,665,393.51705601412,A,0.958920652578162
49977,71,67,10.7293738010751,A,0.998833338923191
49978,71,68,10.7293738010751,A,0.998833338923191
49979,71,69,10.7293738010751,A,0.998833338923191
50607,71,697,432.914892148365,A,0.954993004791671
50693,72,70,381.664678220412,A,0.960108568784192
50697,72,74,54.0103232735499,A,0.994154683349743
51249,72,626,236.601890007188,A,0.974889751114846
51288,72,665,13.3719539087604,A,0.998546415006169
52119,74,70,327.968753237716,A,0.965527374349155
52121,74,72,54.0103232735499,A,0.994154683349743
52675,74,626,289.933117594107,A,0.969402956192564
52714,74,665,65.548522448079,A,0.992914798706524
52840,75,78,284.797075805309,A,0.969928670732438
53556,76,81,133.957334055752,A,0.985626707554369
53557,76,82,49.0458591777458,A,0.994689113565945
54845,77,657,114.076627712373,A,0.987733692559263
54976,78,75,284.797075805309,A,0.969928670732438
57116,81,76,133.957334055752,A,0.985626707554369
57122,81,82,175.145361445333,A,0.981290019926787
57829,82,76,49.0458591777458,A,0.994689113565945
57834,82,81,175.145361445333,A,0.981290019926787
59074,83,608,498.77738326007,A,0.94849840712175
59264,84,85,458.564319297626,A,0.952453208919958
59859,84,680,146.514479577724,A,0.984300509448602
59976,85,84,458.564319297626,A,0.952453208919958
60692,86,87,59.4960967936283,A,0.993564801087592
60694,86,89,240.538929157716,A,0.97448258031842
60695,86,90,44.7193997797458,A,0.995155330639499
60696,86,91,64.1654372720089,A,0.993063260645491
60701,86,96,53.6543139130177,A,0.994192989047626
61404,87,86,59.4960967936283,A,0.993564801087592
61407,87,89,276.581125134076,A,0.970770824971546
61408,87,90,54.5806623403631,A,0.994093322474865
61409,87,91,60.7670498935223,A,0.993428236051154
61414,87,96,95.1894482014681,A,0.989743743409929
62123,88,92,441.289632270044,A,0.954162253424497
62126,88,95,42.763939625584,A,0.99536619347099
62830,89,86,240.538929157716,A,0.97448258031842
62831,89,87,276.581125134076,A,0.970770824971546
62834,89,90,285.204081902779,A,0.969886989634596
62835,89,91,219.130898924009,A,0.976700723630926
62840,89,96,273.978900749079,A,0.971037864114821
63543,90,86,44.7193997797458,A,0.995155330639499
63544,90,87,54.5806623403631,A,0.994093322474865
63546,90,89,285.204081902779,A,0.969886989634596
63548,90,91,94.7770666444277,A,0.989787722006324
63553,90,96,44.7760565243866,A,0.995149222513288
