,Source,Target,distancias,longitudclase,pesos
718,2,5,887.745260425503,B,0.911874658676755
1431,3,5,971.493782733731,B,0.904356194747571
2854,5,2,887.745260425503,B,0.911874658676755
2855,5,3,971.493782733731,B,0.904356194747571
4908,7,630,661.142467386147,B,0.932858919550699
5714,9,10,815.48669007212,B,0.918462807315577
5717,9,13,995.911005414576,B,0.902187442896206
6308,9,604,843.434933743821,B,0.91590337847389
6326,9,622,816.662774285532,B,0.918354816255098
6406,9,702,846.009728243742,B,0.915668302784973
6426,10,9,815.48669007212,B,0.918462807315577
8565,13,9,995.911005414576,B,0.902187442896206
9288,14,19,612.24932679856,B,0.937513911420272
9998,15,16,880.668699808046,B,0.912515683752261
10710,16,15,880.668699808046,B,0.912515683752261
11091,16,396,984.332050046769,B,0.903214594166011
11281,16,586,969.236357530051,B,0.904557227231301
11426,17,18,537.162368535171,B,0.944753905841693
11872,17,464,897.456529405164,B,0.91099643506257
12138,18,17,537.162368535171,B,0.944753905841693
12848,19,14,612.24932679856,B,0.937513911420272
14119,20,572,506.33099161083,B,0.947759199594048
14996,22,23,636.507035498266,B,0.935198604071257
15708,23,22,636.507035498266,B,0.935198604071257
15711,23,25,615.932008940486,B,0.937161675388493
16380,23,694,732.776254108651,B,0.926121722468815
16399,23,713,912.547656121793,B,0.909635044204903
17112,24,713,974.63231164915,B,0.904076844988325
17135,25,23,615.932008940486,B,0.937161675388493
18538,26,713,908.045690925486,B,0.910040746493676
19251,27,713,917.704493096603,B,0.90917077128395
20710,30,33,739.371390526171,B,0.925506335135289
20711,30,34,878.16279224532,B,0.912742895691713
20713,30,36,596.76332047129,B,0.93899799760535
20714,30,37,863.810712541762,B,0.914046389099916
21425,31,35,996.664737848139,B,0.902120661435448
21457,31,67,762.888100010068,B,0.923318649773568
21458,31,68,762.888100010068,B,0.923318649773568
21459,31,69,762.888100010068,B,0.923318649773568
21461,31,71,773.117986344755,B,0.922370220408504
22138,32,35,794.309244029306,B,0.920411729980481
22170,32,67,943.878274891777,B,0.906821619322142
22171,32,68,943.878274891777,B,0.906821619322142
22172,32,69,943.878274891777,B,0.906821619322142
22174,32,71,937.848946272231,B,0.907361687466354
22846,33,30,739.371390526171,B,0.925506335135289
23559,34,30,878.16279224532,B,0.912742895691713
24273,35,31,996.664737848139,B,0.902120661435448
24274,35,32,794.309244029306,B,0.920411729980481
24309,35,67,689.206206619041,B,0.930207864083004
24310,35,68,689.206206619041,B,0.930207864083004
24311,35,69,689.206206619041,B,0.930207864083004
24313,35,71,693.148559907869,B,0.929836654215286
24985,36,30,596.76332047129,B,0.93899799760535
25698,37,30,863.810712541762,B,0.914046389099916
26421,38,40,621.311809996007,B,0.936647591184704
27134,39,40,565.244890826676,B,0.942033095484516
27845,40,38,621.311809996007,B,0.936647591184704
27846,40,39,565.244890826676,B,0.942033095484516
28567,41,47,619.377898270579,B,0.936832327398657
28606,41,86,919.080280947786,B,0.909046988407422
28607,41,87,902.537855367617,B,0.910537586987472
28610,41,90,875.197761534558,B,0.913011882753018
28611,41,91,962.223345738066,B,0.905182333694772
28616,41,96,880.191358705941,B,0.912558955795635
29279,42,46,880.784754470975,B,0.912505163756472
29282,42,49,672.719115991194,B,0.931763496653033
30419,43,473,572.450320525615,B,0.941337512875901
31132,44,473,539.510053119537,B,0.944525845592946
31421,45,49,909.003189219339,B,0.909954429601883
32127,46,42,880.784754470975,B,0.912505163756472
32132,46,47,516.116158102306,B,0.946803319751829
32839,47,41,619.377898270579,B,0.936832327398657
32844,47,46,516.116158102306,B,0.946803319751829
32848,47,50,631.919779156184,B,0.935635563267191
32891,47,93,884.227805075127,B,0.912193172188433
33991,48,480,600.908252902784,B,0.938600311773687
34266,49,42,672.719115991194,B,0.931763496653033
34269,49,45,909.003189219339,B,0.909954429601883
