,Source,Target,distancias,longitudclase,pesos
5,1,5,1140.44594703151,C,0.889559806040669
685,1,685,1235.56620714987,C,0.881440507898314
1398,2,685,1042.56254171728,C,0.898072616795808
2111,3,685,1037.83548394364,C,0.898487849810405
2853,5,1,1140.44594703151,C,0.889559806040669
4951,7,673,1796.14983004297,C,0.836447069986107
5240,8,249,1794.66152301357,C,0.836560441938226
5715,9,11,1940.73918919693,C,0.825577559650171
5933,9,229,1996.06847466441,C,0.821492542634912
5934,9,230,1075.10185803113,C,0.895224687314575
6428,10,11,1303.77006758821,C,0.875709390927048
6429,10,12,1670.11564623642,C,0.846157881499399
6647,10,230,1865.8777333325,C,0.831169766007165
7139,11,9,1940.73918919693,C,0.825577559650171
7140,11,10,1303.77006758821,C,0.875709390927048
7142,11,12,1279.63855188244,C,0.877728604062195
7143,11,13,1181.10104899736,C,0.886071326405215
7408,11,278,1866.90806847671,C,0.831092285080744
7734,11,604,1284.00386330605,C,0.877362645488147
7752,11,622,1302.38482268273,C,0.875825050406804
7819,11,689,1492.99444400301,C,0.860192312689319
7832,11,702,1445.26437038849,C,0.864054256746213
7853,12,10,1670.11564623642,C,0.846157881499399
7854,12,11,1279.63855188244,C,0.877728604062195
7856,12,13,1489.95146680118,C,0.860437495989565
8120,12,277,1271.47530740766,C,0.878413775887015
8121,12,278,1636.87440224822,C,0.848756779478328
8447,12,604,1642.18309133659,C,0.848340659916041
8465,12,622,1668.94486156344,C,0.846249146440761
8545,12,702,1670.39250602981,C,0.846136302618104
8567,13,11,1181.10104899736,C,0.886071326405215
8568,13,12,1489.95146680118,C,0.860437495989565
9285,14,16,1281.32027552977,C,0.877587583430495
9501,14,232,1773.21787537923,C,0.838197332196148
9506,14,237,1697.23437037414,C,0.84404941922033
9716,14,447,1426.43005105652,C,0.865587741080821
9718,14,449,1027.25418961869,C,0.899418722373628
9950,14,681,1632.3332929652,C,0.849113056679369
10001,15,19,1009.16169087152,C,0.901014857776525
10214,15,232,1894.71077814506,C,0.829006969154885
10219,15,237,1839.2724239645,C,0.83317549309983
10376,15,394,1956.11744885741,C,0.824438096134387
10378,15,396,1858.83370628816,C,0.831699862199346
10429,15,447,1778.11545943128,C,0.837822913342773
10431,15,449,1429.94099216854,C,0.865301468741921
10568,15,586,1721.04494450676,C,0.842206807651833
10663,15,681,1761.69708608514,C,0.839079414028638
10709,16,14,1281.32027552977,C,0.877587583430495
10712,16,17,1713.18850635934,C,0.842813898149083
10714,16,19,1871.74813005911,C,0.830728506976703
11078,16,383,1171.60084573348,C,0.886884055356281
11086,16,391,1212.4173115927,C,0.883402780525695
11088,16,393,1947.33543452872,C,0.825088420443588
11089,16,394,1641.31739660529,C,0.848408489220794
11369,16,674,1807.83765874245,C,0.835557815405694
11424,17,16,1713.18850635934,C,0.842813898149083
11791,17,383,1700.27970171477,C,0.843813302850094
11804,17,396,1698.42689999931,C,0.843956942026034
11871,17,463,1889.93384113111,C,0.829364513940562
12504,18,383,1733.92351242782,C,0.841213531808308
12517,18,396,1791.8176707105,C,0.836777158190362
12585,18,464,1190.78342106368,C,0.885244544406583
12849,19,15,1009.16169087152,C,0.901014857776525
12850,19,16,1871.74813005911,C,0.830728506976703
13066,19,232,1617.47950796774,C,0.850280517147058
13071,19,237,1514.91101585859,C,0.858430536881081
13280,19,446,1779.49728339887,C,0.837717333804184
13281,19,447,1095.95410412095,C,0.893409119079222
13284,19,450,1714.88127136071,C,0.842683019167939
13515,19,681,1478.44625025306,C,0.861365776089626
15686,22,713,1058.05007809828,C,0.896714849140706
17825,25,713,1044.47183579181,C,0.897905009863613
20757,30,80,1947.53415583372,C,0.825073693420555
21381,30,704,1691.13379622818,C,0.844522818155373
21422,31,32,1615.48993676744,C,0.850437134987957
21424,31,34,1686.33530743426,C,0.844895549742734
21427,31,37,1673.94660049321,C,0.84585938870783
22031,31,641,1700.93519925984,C,0.84376249685539
22087,31,697,1103.74278483372,C,0.892732860004921
22134,32,31,1615.48993676744,C,0.850437134987957
22137,32,34,1873.70772265125,C,0.830581314923713
22140,32,37,1885.68420640968,C,0.829682850462811
22744,32,641,1185.43587681882,C,0.885700982702343
22800,32,697,1021.42781691934,C,0.899932112175743
22850,33,34,1614.34718367961,C,0.850527117909028
22853,33,37,1598.5636580815,C,0.85177189846232
22892,33,76,1455.76317873287,C,0.86320180331363
22896,33,80,1331.54546918104,C,0.873396744575099
22897,33,81,1341.08220217066,C,0.87260550783459
22898,33,82,1504.29084881176,C,0.859283342793133
23520,33,704,1211.02045272382,C,0.883521468222215
23560,34,31,1686.33530743426,C,0.844895549742734
23561,34,32,1873.70772265125,C,0.830581314923713
23562,34,33,1614.34718367961,C,0.850527117909028
23564,34,35,1233.80762622143,C,0.88158927228089
23565,34,36,1472.36385877982,C,0.861857333973179
23596,34,67,1852.41680981099,C,0.832183352748544
23597,34,68,1852.41680981099,C,0.832183352748544
23598,34,69,1852.41680981099,C,0.832183352748544
23600,34,71,1859.62987289245,C,0.831639913023938
24276,35,34,1233.80762622143,C,0.88158927228089
24279,35,37,1237.92388613881,C,0.881241142517595
24883,35,641,1556.46118038541,C,0.855110236961611
24939,35,697,1074.59545910939,C,0.895268870356119
24989,36,34,1472.36385877982,C,0.861857333973179
24992,36,37,1456.79428178001,C,0.863118173337407
25031,36,76,1598.38300229514,C,0.851786167118403
25035,36,80,1439.19883127927,C,0.864547517534421
25036,36,81,1483.38083715125,C,0.860967391601526
25037,36,82,1646.89304306811,C,0.84797181359264
25659,36,704,1287.54890467928,C,0.877065677342567
25699,37,31,1673.94660049321,C,0.84585938870783
25700,37,32,1885.68420640968,C,0.829682850462811
25701,37,33,1598.5636580815,C,0.85177189846232
25703,37,35,1237.92388613881,C,0.881241142517595
25704,37,36,1456.79428178001,C,0.863118173337407
25735,37,67,1851.01646551115,C,0.832288938490842
25736,37,68,1851.01646551115,C,0.832288938490842
25737,37,69,1851.01646551115,C,0.832288938490842
25739,37,71,1858.34425682661,C,0.831736720699882
28562,41,42,1723.15924979679,C,0.842043578277796
28565,41,45,1080.63509930989,C,0.894742198908571
28566,41,46,1134.27673593007,C,0.890091567395901
28569,41,49,1771.26086713093,C,0.838347038493063
28609,41,89,1154.01990738879,C,0.888392018924858
29274,42,41,1723.15924979679,C,0.842043578277796
29278,42,45,1260.2150059147,C,0.879360652715992
29280,42,47,1222.85366135052,C,0.88251703740348
29283,42,50,1760.19941719583,C,0.839194218462401
29326,42,93,1992.54779341373,C,0.821751273369525
29888,42,655,1387.97490443183,C,0.868735710799201
29994,43,48,1573.12255843803,C,0.853786019328788
30091,43,145,1756.57727411835,C,0.839472005262726
30426,43,480,1683.25977335192,C,0.84513462066813
30601,43,655,1503.4428503338,C,0.859351510645803
30707,44,48,1584.30707077512,C,0.852899391824131
30804,44,145,1766.02141188838,C,0.838748107244045
31139,44,480,1682.62428775744,C,0.845184035826482
31314,44,655,1532.00878776189,C,0.857061125990025
31413,45,41,1080.63509930989,C,0.894742198908571
31414,45,42,1260.2150059147,C,0.879360652715992
31418,45,46,1332.1896009358,C,0.873343257536462
31419,45,47,1111.29152887524,C,0.892078409883969
31422,45,50,1137.76798964999,C,0.889790557208802
31458,45,86,1754.6812552537,C,0.839617486722476
