Source;Target
SANTIAGO;Metropolitano Central
CERRILLOS;Metropolitano Central
CERRO NAVIA;Metropolitano Occidente
CONCHALI;Metropolitano Norte
EL BOSQUE;Metropolitano Sur
ESTACION CENTRAL;Metropolitano Central
HUECHURABA;Metropolitano Norte
INDEPENDENCIA;Metropolitano Norte
LA CISTERNA;Metropolitano Sur
LA FLORIDA;Metropolitano Suroriente
LA GRANJA;Metropolitano Suroriente
LA PINTANA;Metropolitano Suroriente
LA REINA;Metropolitano Oriente
LAS CONDES;Metropolitano Oriente
LO BARNECHEA;Metropolitano Oriente
LO ESPEJO;Metropolitano Sur
LO PRADO;Metropolitano Occidente
MACUL;Metropolitano Oriente
MAIPU;Metropolitano Central
NUNOA;Metropolitano Oriente
PEDRO AGUIRRE CERDA;Metropolitano Sur
PENALOLEN;Metropolitano Oriente
PROVIDENCIA;Metropolitano Oriente
PUDAHUEL;Metropolitano Occidente
QUILICURA;Metropolitano Norte
QUINTA NORMAL;Metropolitano Occidente
RECOLETA;Metropolitano Norte
RENCA;Metropolitano Occidente
SAN JOAQUIN;Metropolitano Sur
SAN MIGUEL;Metropolitano Sur
SAN RAMON;Metropolitano Suroriente
VITACURA;Metropolitano Oriente
PUENTE ALTO;Metropolitano Suroriente
PIRQUE;Metropolitano Suroriente
SAN JOSE DE MAIPO;Metropolitano Suroriente
COLINA;Metropolitano Norte
LAMPA;Metropolitano Norte
TILTIL;Metropolitano Norte
SAN BERNARDO;Metropolitano Sur
BUIN;Metropolitano Sur
CALERA DE TANGO;Metropolitano Sur
PAINE;Metropolitano Sur
MELIPILLA;Metropolitano Occidente
ALHUE;Metropolitano Occidente
CURACAVI;Metropolitano Occidente
MARIA PINTO;Metropolitano Occidente
SAN PEDRO;Metropolitano Occidente
TALAGANTE;Metropolitano Occidente
EL MONTE;Metropolitano Occidente
ISLA DE MAIPO;Metropolitano Occidente
PADRE HURTADO;Metropolitano Occidente
PENAFLOR;Metropolitano Occidente
