Id,Label,timeset,farmacia,lat,lng,nombre,comune,poblacion,POBLA,Degree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,modularity_class,pageranks,componentnumber,clustering,triangles,eigencentrality
1,AHUMADA,,BUIN,33.732,-70.735941,AHUMADA,,,,5,1.249732,2,0.777778,0.857143,0,0,0.001467,0,1,10,0.00231
2,BUIN,,BUIN,33.729515,-70.739232,BUIN,,,,5,1.156607,2,0.777778,0.857143,0,0,0.001467,0,1,10,0.00231
3,CRUZ VERDE,,BUIN,33.733423,-70.737859,CRUZ VERDE,,,,5,1.275559,2,0.777778,0.857143,0,0,0.001467,0,1,10,0.00231
4,EL ALBA,,BUIN,33.761703,-70.735348,EL ALBA,,,,1,0.1,2,0.538462,0.571429,0,0,0.000469,0,0,0,0.00051
5,PLAZA BUIN,,BUIN,33.732228,-70.748244,PLAZA BUIN,,,,5,1.147372,2,0.777778,0.857143,0,0,0.001467,0,1,10,0.00231
6,SALCOBRAND,,BUIN,33.730963,-70.774937,SALCOBRAND,,,,1,0.1,2,0.538462,0.571429,0,0,0.000469,0,0,0,0.00051
7,CALERA DE TANGO,,CALERA DE TANGO,33.629789,-70.762771,CALERA DE TANGO,,,,3,0.461673,21,0.080676,0.095982,0,9,0.00118,1,1,3,0.001098
8,CRUZ VERDE,,CALERA DE TANGO,33.573438,-70.768774,CRUZ VERDE,,,,2,0.210175,19,0.096061,0.123242,2696,9,0.000642,1,0,0,0.001267
9,AHUMADA,,CERRILLOS,33.518821,-70.707453,AHUMADA,,,,9,1.501262,15,0.118968,0.145224,1966.658005,12,0.00148,1,0.722222,26,0.006009
10,CRUZ VERDE,,CERRILLOS,33.515827,-70.71547,CRUZ VERDE,,,,9,3.658952,15,0.119135,0.14633,2680.799326,12,0.001439,1,0.861111,31,0.006256
11,LA FE,,CERRILLOS,33.504598,-70.71962,LA FE,,,,10,1.317139,16,0.112438,0.145705,4643.854465,12,0.001606,1,0.644444,29,0.006692
