"","id","farmacias_stgo.local_nombre","farmacias_stgo.comuna_nombre","farmacias_stgo.local_lat","farmacias_stgo.local_lng"
"1",1,"AHUMADA","BUIN","-33.732","-70.735941"
"2",2,"BUIN","BUIN","-33.729515","-70.739232"
"3",3,"CRUZ VERDE ","BUIN","-33.733423","-70.737859"
"4",4,"EL ALBA","BUIN","-33.761703","-70.735348"
"5",5,"PLAZA BUIN","BUIN","-33.732228","-70.748244"
"6",6,"SALCOBRAND","BUIN","-33.730963","-70.774937"
"7",7,"CALERA DE TANGO","CALERA DE TANGO","-33.629789","-70.762771"
"8",8,"CRUZ VERDE","CALERA DE TANGO","-33.573438","-70.768774"
"9",9,"AHUMADA","CERRILLOS","-33.518821","-70.707453"
"10",10,"CRUZ VERDE","CERRILLOS","-33.515827","-70.71547"
"11",11,"LA FE","CERRILLOS","-33.504598","-70.71962"
"12",12,"VILLA MEXICO","CERRILLOS","-33.509773","-70.731929"
"13",13,"SALCOBRAND","CERRILLOS","-33.515049","-70.717181"
"14",14,"DAVIFAR","CERRO NAVIA","-33.429131","-70.726508"
"15",15,"LAS TORRES","CERRO NAVIA","-33.428999","-70.730842"
"16",16,"SANTO THOMAS","CERRO NAVIA","-33.429812","-70.740262"
"17",17,"SILVA ","CERRO NAVIA","-33.416828","-70.75024"
"18",18,"LA UNION ","CERRO NAVIA","-33.416666","-70.756012"
"19",19,"NEPTUNO","CERRO NAVIA","-33.430582","-70.720156"
"20",20,"AHUMADA","COLINA","-33.285167","-70.680634"
"21",21,"AHUMADA","COLINA","-33.276682","-70.628112"
"22",22,"AHUMADA","COLINA","-33.20679","-70.677604"
"23",23,"BELEN","COLINA","-33.201996","-70.673851"
"24",24,"CRUZ VERDE","COLINA","-33.204402","-70.676177"
"25",25,"CRUZ VERDE","COLINA","-33.206653","-70.67745"
"26",26,"NUEVA REAL","COLINA","-33.204546","-70.675481"
"27",27,"SAN MARTIN","COLINA","-33.204707","-70.675653"
"28",28,"SALCOBRAND","COLINA","-33.28584","-70.675528"
"29",29,"SALCOBRAND","COLINA","-33.286342","-70.675789"
"30",30,"AHUMADA","CONCHALI","-33.391512","-70.675618"
"31",31,"AHUMADA","CONCHALI","-33.371545","-70.671232"
"32",32,"BELEN","CONCHALI","-33.369164","-70.688358"
"33",33,"BELEN","CONCHALI","-33.396802","-70.670782"
"34",34,"BELEN","CONCHALI","-33.384673","-70.680374"
"35",35,"CRUZ VERDE","CONCHALI","-33.373601","-70.681658"
"36",36,"CRUZ VERDE","CONCHALI","-33.395801","-70.671745"
"37",37,"CRUZ VERDE ","CONCHALI","-33.384684","-70.680084"
"38",38,"CRUZ VERDE","CURACAVI","-33.402767","-71.129139"
"39",39,"CURACAVI","CURACAVI","-33.40257","-71.129915"
"40",40,"EL SOL","CURACAVI","-33.404934","-71.135298"
"41",41,"AHUMADA","EL BOSQUE","-33.54579","-70.667759"
"42",42,"ALAMEDA","EL BOSQUE","-33.561121","-70.670763"
"43",43,"BELEN","EL BOSQUE","-33.58241","-70.676809"
"44",44,"BELEN","EL BOSQUE","-33.582698","-70.676898"
"45",45,"SALUD/CANAIMA","EL BOSQUE","-33.55352","-70.660676"
"46",46,"CRUZ VERDE","EL BOSQUE","-33.55402","-70.675009"
"47",47,"CRUZ VERDE","EL BOSQUE","-33.55014","-70.671941"
"48",48,"CRUZ VERDE ","EL BOSQUE","-33.574529","-70.690897"
"49",49,"LOS MAQUIS","EL BOSQUE","-33.561361","-70.663524"
"50",50,"SALCOBRAND","EL BOSQUE","-33.545401","-70.668164"
"51",51,"AHUMADA","ESTACION CENTRAL","-33.457041","-70.70509"
"52",52,"AHUMADA","ESTACION CENTRAL","-33.452695","-70.69151"
"53",53,"BELGO CHILENA","ESTACION CENTRAL","-33.453930","-70.687752"
"54",54,"CARRERA","ESTACION CENTRAL","-33.471008","-70.692411"
"55",55,"CRUZ VERDE","ESTACION CENTRAL","-33.451139","-70.679883"
"56",56,"CRUZ VERDE","ESTACION CENTRAL","-33.453339","-70.687819"
"57",57,"CRUZ VERDE","ESTACION CENTRAL","-33.467564","-70.729965"
"58",58,"CRUZ VERDE","ESTACION CENTRAL","-33.453006","-70.680365"
"59",59,"DEL DR. SIMI ","ESTACION CENTRAL","-33.454199","-70.692347"
"60",60,"ELENA","ESTACION CENTRAL","-33.465727","-70.708569"
"61",61,"PURA SALUD","ESTACION CENTRAL","-33.461825","-70.698417"
"62",62,"SALCOBRAND","ESTACION CENTRAL","-33.450755","-70.679185"
"63",63,"SALCOBRAND","ESTACION CENTRAL","-33.451979","-70.682283"
"64",64,"SALCOBRAND","ESTACION CENTRAL","-33.453151","-70.687245"
"65",65,"SALCOBRAND","ESTACION CENTRAL","-33.453167","-70.68039"
"66",66,"SALCOBRAND","ESTACION CENTRAL","-33.451101","-70.679644"
"67",67,"SALCOBRAND","HUECHURABA","-33.368062","-70.678301"
"68",68,"SALCOBRAND","HUECHURABA","-33.368062","-70.678301"
"69",69,"AHUMADA","HUECHURABA","-33.368062","-70.678301"
"70",70,"AHUMADA ","HUECHURABA","-33.351179","-70.670396"
"71",71,"CRUZ VERDE","HUECHURABA","-33.36799","-70.678378"
"72",72,"CRUZ VERDE","HUECHURABA","-33.347738","-70.670353"
"73",73,"FARMAVIDA ","HUECHURABA","-33.376326","-70.637787"
"74",74,"SALCOBRAND","HUECHURABA","-33.348222","-70.670417"
"75",75,"MEDDICA","INDEPENDENCIA","-33.41751","-70.656496"
"76",76,"CRUZ VERDE","INDEPENDENCIA","-33.406802","-70.660646"
"77",77,"CRUZ VERDE","INDEPENDENCIA","-33.419606","-70.663331"
"78",78,"CRUZ VERDE ","INDEPENDENCIA","-33.420034","-70.655933"
"79",79,"MAESTRE","INDEPENDENCIA","-33.414275","-70.678147"
"80",80,"NOVOA","INDEPENDENCIA","-33.408777","-70.671801"
"81",81,"SANTA LAURA","INDEPENDENCIA","-33.405615","-70.660912"
"82",82,"VALLE DE VIDA","INDEPENDENCIA","-33.407093","-70.660249"
"83",83,"ECUANASER","ISLA DE MAIPO","-33.745037","-70.864777"
"84",84,"ECUANASER","ISLA DE MAIPO","-33.754429","-70.900940"
"85",85,"FARMAMARKET","ISLA DE MAIPO","-33.756367","-70.896568"
"86",86,"SALCOBRAND","LA CISTERNA","-33.538005","-70.664369"
"87",87,"AHUMADA","LA CISTERNA","-33.538335","-70.663864"
"88",88,"AHUMADA","LA CISTERNA","-33.52358","-70.660504"
"89",89,"BELEN","LA CISTERNA","-33.5358487","-70.66409249999998"
"90",90,"CRUZ VERDE","LA CISTERNA","-33.538403","-70.664446"
"91",91,"DEL DR. SIMI ","LA CISTERNA","-33.5378","-70.663723"
"92",92,"DEL DR. SIMI ","LA CISTERNA","-33.527418","-70.661756"
"93",93,"MARTINEZ  ACUÑA","LA CISTERNA","-33.54348","-70.666708"
"94",94,"SALCOBRAND","LA CISTERNA","-33.518528","-70.659275"
"95",95,"MANRIQUEZ","LA CISTERNA","-33.523955","-70.660611"
"96",96,"SALCOBRAND","LA CISTERNA","-33.538229","-70.664881"
"97",97,"AHUMADA","LA FLORIDA","-33.511522","-70.590659"
"98",98,"AHUMADA","LA FLORIDA","-33.51988985915592","-70.59560333596801"
"99",99,"AHUMADA","LA FLORIDA","-33.516006","-70.5976"
"100",100,"AHUMADA","LA FLORIDA","-33.543243","-70.570288"
"101",101,"AHUMADA","LA FLORIDA","-33.535917","-70.555482"
"102",102,"AHUMADA","LA FLORIDA","-33.545723","-70.569232"
"103",103,"AHUMADA","LA FLORIDA","-33.510377","-70.608662"
"104",104,"AHUMADA","LA FLORIDA","-33.511162","-70.608098"
"105",105,"AHUMADA","LA FLORIDA","-33.515655","-70.606581"
"106",106,"AHUMADA","LA FLORIDA","-33.535135","-70.593341"
"107",107,"AHUMADA","LA FLORIDA","-33.543827","-70.58935"
"108",108,"AHUMADA","LA FLORIDA","-33.519608","-70.602804"
"109",109,"AHUMADA","LA FLORIDA","-33.522524","-70.579158"
"110",110,"BELEN","LA FLORIDA","-33.522497","-70.574622"
"111",111,"C.A.","LA FLORIDA","-33.539579","-70.603521"
"112",112,"CRUZ VERDE","LA FLORIDA","-33.522077","-70.597461"
"113",113,"CRUZ VERDE","LA FLORIDA","-33.539606","-70.583173"
"114",114,"CRUZ VERDE","LA FLORIDA","-33.539997","-70.571672"
"115",115,"CRUZ VERDE","LA FLORIDA","-33.55396","-70.602718"
"116",116,"CRUZ VERDE","LA FLORIDA","-33.534741","-70.554336"
"117",117,"CRUZ VERDE","LA FLORIDA","-33.526927","-70.596404"
"118",118,"CRUZ VERDE","LA FLORIDA","-33.553512","-70.586767"
"119",119,"CRUZ VERDE","LA FLORIDA","-33.510715","-70.608632"
"120",120,"CRUZ VERDE","LA FLORIDA","-33.51926","-70.600275"
"121",121,"CRUZ VERDE","LA FLORIDA","-33.51926","-70.600275"
"122",122,"CRUZ VERDE","LA FLORIDA","-33.546543","-70.588089"
"123",123,"CRUZ VERDE","LA FLORIDA","-33.510449","-70.608448"
"124",124,"CRUZ VERDE","LA FLORIDA","-33.522345","-70.579265"
"125",125,"DEL DR. SIMI ","LA FLORIDA","-33.521946","-70.579651"
"126",126,"FARMA SUR","LA FLORIDA","-33.560976","-70.610744"
"127",127,"JUMBO","LA FLORIDA","-33.511162","-70.608098"
"128",128,"REDFARMA","LA FLORIDA","-33.518724","-70.600416"
"129",129,"REY FARMA","LA FLORIDA","-33.557606","-70.59041"
"130",130,"ROSARIO","LA FLORIDA","-33.535457","-70.603641"
"131",131,"ROTONDA  LA FLORIDA","LA FLORIDA","-33.520682","-70.600015"
"132",132,"SU FARMA","LA FLORIDA","-33.559242","-70.55976"
"133",133,"SALCOBRAND","LA FLORIDA","-33.547833","-70.568365"
