,id,latitude,longitude,label
1,AHUMADA,-33.732,-70.735941,BUIN
2,BUIN,-33.729515,-70.739232,BUIN
3,CRUZ VERDE ,-33.733423,-70.737859,BUIN
4,EL ALBA,-33.761703,-70.735348,BUIN
5,PLAZA BUIN,-33.732228,-70.748244,BUIN
6,SALCOBRAND,-33.730963,-70.774937,BUIN
7,CALERA DE TANGO,-33.629789,-70.762771,CALERA DE TANGO
8,CRUZ VERDE,-33.573438,-70.768774,CALERA DE TANGO
9,AHUMADA,-33.518821,-70.707453,CERRILLOS
10,CRUZ VERDE,-33.515827,-70.71547,CERRILLOS
11,LA FE,-33.504598,-70.71962,CERRILLOS
12,VILLA MEXICO,-33.509773,-70.731929,CERRILLOS
13,SALCOBRAND,-33.515049,-70.717181,CERRILLOS
14,DAVIFAR,-33.429131,-70.726508,CERRO NAVIA
15,LAS TORRES,-33.428999,-70.730842,CERRO NAVIA
16,SANTO THOMAS,-33.429812,-70.740262,CERRO NAVIA
17,SILVA ,-33.416828,-70.75024,CERRO NAVIA
18,LA UNION ,-33.416666,-70.756012,CERRO NAVIA
19,NEPTUNO,-33.430582,-70.720156,CERRO NAVIA
20,AHUMADA,-33.285167,-70.680634,COLINA
21,AHUMADA,-33.276682,-70.628112,COLINA
22,AHUMADA,-33.20679,-70.677604,COLINA
23,BELEN,-33.201996,-70.673851,COLINA
24,CRUZ VERDE,-33.204402,-70.676177,COLINA
25,CRUZ VERDE,-33.206653,-70.67745,COLINA
26,NUEVA REAL,-33.204546,-70.675481,COLINA
27,SAN MARTIN,-33.204707,-70.675653,COLINA
28,SALCOBRAND,-33.28584,-70.675528,COLINA
29,SALCOBRAND,-33.286342,-70.675789,COLINA
30,AHUMADA,-33.391512,-70.675618,CONCHALI
31,AHUMADA,-33.371545,-70.671232,CONCHALI
32,BELEN,-33.369164,-70.688358,CONCHALI
33,BELEN,-33.396802,-70.670782,CONCHALI
34,BELEN,-33.384673,-70.680374,CONCHALI
35,CRUZ VERDE,-33.373601,-70.681658,CONCHALI
36,CRUZ VERDE,-33.395801,-70.671745,CONCHALI
37,CRUZ VERDE ,-33.384684,-70.680084,CONCHALI
38,CRUZ VERDE,-33.402767,-71.129139,CURACAVI
39,CURACAVI,-33.40257,-71.129915,CURACAVI
40,EL SOL,-33.404934,-71.135298,CURACAVI
41,AHUMADA,-33.54579,-70.667759,EL BOSQUE
42,ALAMEDA,-33.561121,-70.670763,EL BOSQUE
43,BELEN,-33.58241,-70.676809,EL BOSQUE
44,BELEN,-33.582698,-70.676898,EL BOSQUE
45,SALUD/CANAIMA,-33.55352,-70.660676,EL BOSQUE
46,CRUZ VERDE,-33.55402,-70.675009,EL BOSQUE
47,CRUZ VERDE,-33.55014,-70.671941,EL BOSQUE
48,CRUZ VERDE ,-33.574529,-70.690897,EL BOSQUE
49,LOS MAQUIS,-33.561361,-70.663524,EL BOSQUE
